"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","AA/AO","AA","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Scottish Government","EO","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","HEO","20","20","34960","35110"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","SEO","10","10","46490","46600"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","AO","50","45","21090","21000"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","EO","355","335","25060","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","G6","10","10","70070","70740"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","G7","45","45","56040","55470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","435","400","33320","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","155","150","43030","43440"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","AA","10","10","20460","21330"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","AO","800","745","21900","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","EO","775","730","26560","25670"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G6","55","55","62510","62480"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G7","155","150","52520","53200"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","405","385","31580","31440"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","475","450","39980","37910"
"In post","2021","Attorney General's Office","Attorney General's Departments","EO","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6/G7","G6","10","10","66070","65650"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6/G7","G7","10","10","53280","51250"
"In post","2021","Attorney General's Office","Attorney General's Departments","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","AO","555","515","21810","20920"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","EO","885","860","27210","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G6","845","835","70530","66730"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G7","2180","2135","55360","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","SCS level","970","955","92190","78420"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","HEO","3265","3235","32060","32000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","SEO","750","735","40570","40600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AA","10","10","17640","17640"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AO","45","40","21150","21050"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","EO","120","115","25080","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G6","25","25","63160","63450"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G7","85","80","48750","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","185","180","29740","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","130","125","37230","36580"
"In post","2021","Charity Commission","Charity Commission","AA/AO","AO","20","15","20130","19950"
"In post","2021","Charity Commission","Charity Commission","EO","EO","110","100","24760","24440"
"In post","2021","Charity Commission","Charity Commission","G6/G7","G6","20","20","63180","62480"
"In post","2021","Charity Commission","Charity Commission","G6/G7","G7","45","45","52300","51070"
"In post","2021","Charity Commission","Charity Commission","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","HEO","140","135","29430","29160"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","SEO","95","95","38310","37910"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","AO","425","370","21750","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","EO","285","270","27850","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G6","20","20","67070","65990"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G7","50","50","53570","51480"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","160","150","34760","35790"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","145","140","43260","42990"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","AA/AO","AO","25","25","23300","22860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","EO","EO","75","75","28540","28070"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G6","195","185","76550","75270"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G7","235","225","57760","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","SCS level","SCS level","110","110","109380","101280"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","HEO","145","140","35310","34870"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","SEO","55","55","44350","43880"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","AA","10","10","17720","17880"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","AO","105","95","20540","20650"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","EO","EO","85","80","23350","22710"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","G7","15","10","55930","58000"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","HEO","70","65","28160","26560"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","SEO","15","15","34120","32540"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","AO","25","25","19610","18870"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","EO","EO","110","105","23540","22260"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","G6","55","50","61900","60750"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","G7","140","140","49230","47980"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","SCS level","25","25","87820","73890"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","HEO","195","190","28870","28090"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","SEO","240","230","36630","35470"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","AO","710","630","21930","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","EO","EO","320","305","27330","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G6","35","35","72830","73280"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G7","165","155","65160","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","SCS level","30","30","85890","83230"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","HEO","295","280","33170","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","SEO","470","440","47550","51540"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","AA/AO","AA","15","15","19690","20180"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","AA/AO","AO","1440","1320","22260","21950"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","EO","EO","1355","1255","27960","28430"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","G6/G7","G6","210","210","74180","71330"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","G6/G7","G7","2660","2450","56330","55610"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","SCS level","SCS level","85","80","94570","89220"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","HEO","760","730","34940","34480"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","SEO","220","215","40230","39750"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","G7","10","10","56630","57080"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
