"Status","Year","Age","Disability","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport","Outside London","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions","London","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions","Outside London","160","160","22180","21010"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care","London","10","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs","Outside London","75","75","20730","20140"
"In post","2021","16-19","Declared non-disabled","HM Treasury","London","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office","London","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office","Outside London","30","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","Outside London","120","120","18960","19040"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice","Outside London","70","70","21680","20600"
"In post","2021","16-19","Declared non-disabled","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scottish Government","Outside London","55","50","21240","21150"
"In post","2021","16-19","Declared non-disabled","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Transport","London","5","5","[c]","[c]"
