"Status","Year","Region_ITL2","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA","Female","Heterosexual / straight","85","75","19590","19160"
"In post","2021","Bedfordshire and Hertfordshire","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Male","Heterosexual / straight","85","85","21210","21500"
"In post","2021","Bedfordshire and Hertfordshire","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AO","Female","Heterosexual / straight","410","370","23860","22450"
"In post","2021","Bedfordshire and Hertfordshire","AO","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AO","Female","Undeclared","60","50","24050","23510"
"In post","2021","Bedfordshire and Hertfordshire","AO","Female","Unknown","95","80","24220","23360"
"In post","2021","Bedfordshire and Hertfordshire","AO","Male","Heterosexual / straight","295","290","27140","27850"
"In post","2021","Bedfordshire and Hertfordshire","AO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AO","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AO","Male","Unknown","90","90","27380","27850"
"In post","2021","Bedfordshire and Hertfordshire","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","Heterosexual / straight","675","620","28500","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","LGBO","30","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","Undeclared","70","65","29550","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","Unknown","165","145","29280","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","Heterosexual / straight","475","450","29460","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","LGBO","25","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","Undeclared","75","70","29430","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","Unknown","90","90","29560","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6","Female","Heterosexual / straight","25","25","[c]","[c]"
