"Status","Year","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Heterosexual / straight","5110","4650","22040","21010"
"In post","2021","East Midlands (England)","AA/AO","LGBO","280","270","22900","21010"
"In post","2021","East Midlands (England)","AA/AO","Undeclared","695","620","22000","21010"
"In post","2021","East Midlands (England)","AA/AO","Unknown","1910","1715","22040","21010"
"In post","2021","East Midlands (England)","EO","Heterosexual / straight","3920","3635","27040","27570"
"In post","2021","East Midlands (England)","EO","LGBO","260","250","26870","27570"
"In post","2021","East Midlands (England)","EO","Undeclared","595","540","27160","27410"
"In post","2021","East Midlands (England)","EO","Unknown","1345","1225","27040","27570"
"In post","2021","East Midlands (England)","G6/G7","Heterosexual / straight","1015","970","57480","53430"
"In post","2021","East Midlands (England)","G6/G7","LGBO","55","50","57510","52580"
"In post","2021","East Midlands (England)","G6/G7","Undeclared","125","120","58080","53430"
"In post","2021","East Midlands (England)","G6/G7","Unknown","225","215","57260","53430"
"In post","2021","East Midlands (England)","SCS level","Heterosexual / straight","70","70","89240","82730"
"In post","2021","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Heterosexual / straight","3240","3075","35990","34290"
"In post","2021","East Midlands (England)","SEO/HEO","LGBO","150","145","35910","33840"
"In post","2021","East Midlands (England)","SEO/HEO","Undeclared","495","470","36740","35000"
"In post","2021","East Midlands (England)","SEO/HEO","Unknown","860","820","34840","32230"
"In post","2021","East Midlands (England)","Unknown","Heterosexual / straight","785","720","30080","30210"
"In post","2021","East Midlands (England)","Unknown","LGBO","40","40","28940","29200"
"In post","2021","East Midlands (England)","Unknown","Undeclared","95","85","31380","31420"
"In post","2021","East Midlands (England)","Unknown","Unknown","80","70","26910","24320"
"In post","2021","East of England","AA/AO","Heterosexual / straight","5295","4885","23540","21440"
"In post","2021","East of England","AA/AO","LGBO","275","265","24150","22420"
"In post","2021","East of England","AA/AO","Undeclared","690","630","23460","21440"
"In post","2021","East of England","AA/AO","Unknown","1570","1410","23810","21580"
"In post","2021","East of England","EO","Heterosexual / straight","4985","4600","28200","27570"
"In post","2021","East of England","EO","LGBO","255","245","28050","27570"
"In post","2021","East of England","EO","Undeclared","700","640","28370","27570"
"In post","2021","East of England","EO","Unknown","1230","1115","28320","27570"
"In post","2021","East of England","G6/G7","Heterosexual / straight","910","875","59480","55710"
"In post","2021","East of England","G6/G7","LGBO","30","30","[c]","[c]"
"In post","2021","East of England","G6/G7","Undeclared","115","110","58950","54660"
"In post","2021","East of England","G6/G7","Unknown","285","270","57210","54390"
"In post","2021","East of England","SCS level","Heterosexual / straight","85","85","95190","95620"
"In post","2021","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","East of England","SCS level","Unknown","30","30","95780","84890"
"In post","2021","East of England","SEO/HEO","Heterosexual / straight","3535","3375","36890","35480"
"In post","2021","East of England","SEO/HEO","LGBO","140","135","36160","35120"
"In post","2021","East of England","SEO/HEO","Undeclared","600","565","37160","35480"
"In post","2021","East of England","SEO/HEO","Unknown","815","770","35880","35000"
"In post","2021","East of England","Unknown","Heterosexual / straight","810","745","29020","28200"
"In post","2021","East of England","Unknown","LGBO","45","45","28540","24020"
"In post","2021","East of England","Unknown","Undeclared","85","75","30390","31420"
"In post","2021","East of England","Unknown","Unknown","95","85","24480","22920"
"In post","2021","London","AA/AO","Heterosexual / straight","7955","7420","25490","25110"
"In post","2021","London","AA/AO","LGBO","400","390","26240","25110"
"In post","2021","London","AA/AO","Undeclared","1135","1035","25060","25110"
"In post","2021","London","AA/AO","Unknown","3215","2970","25760","24890"
"In post","2021","London","EO","Heterosexual / straight","14245","13525","29980","30100"
"In post","2021","London","EO","LGBO","895","870","29740","29720"
"In post","2021","London","EO","Undeclared","2010","1875","30000","30270"
"In post","2021","London","EO","Unknown","4150","3925","30070","30330"
"In post","2021","London","G6/G7","Heterosexual / straight","18085","17455","60480","58840"
"In post","2021","London","G6/G7","LGBO","1650","1625","59350","57530"
"In post","2021","London","G6/G7","Undeclared","2430","2350","61220","59160"
"In post","2021","London","G6/G7","Unknown","5470","5280","60690","59160"
"In post","2021","London","SCS level","Heterosexual / straight","3120","3000","90370","81790"
"In post","2021","London","SCS level","LGBO","250","245","87880","78670"
"In post","2021","London","SCS level","Undeclared","310","300","88710","81200"
"In post","2021","London","SCS level","Unknown","1015","980","94100","84040"
"In post","2021","London","SEO/HEO","Heterosexual / straight","21615","21090","38700","37910"
"In post","2021","London","SEO/HEO","LGBO","1820","1800","37830","36800"
"In post","2021","London","SEO/HEO","Undeclared","3010","2925","39000","38510"
"In post","2021","London","SEO/HEO","Unknown","7485","7335","37030","36160"
"In post","2021","London","Unknown","Heterosexual / straight","1285","1245","33870","33950"
"In post","2021","London","Unknown","LGBO","80","80","33580","33020"
"In post","2021","London","Unknown","Undeclared","130","125","36740","35310"
"In post","2021","London","Unknown","Unknown","150","145","31160","26810"
"In post","2021","North East (England)","AA/AO","Heterosexual / straight","7985","6900","21460","21010"
"In post","2021","North East (England)","AA/AO","LGBO","425","395","21500","21010"
"In post","2021","North East (England)","AA/AO","Undeclared","955","815","21600","21010"
"In post","2021","North East (England)","AA/AO","Unknown","4320","3620","21470","21010"
"In post","2021","North East (England)","EO","Heterosexual / straight","5205","4715","26870","27570"
"In post","2021","North East (England)","EO","LGBO","245","240","26830","27570"
"In post","2021","North East (England)","EO","Undeclared","550","500","26930","27370"
"In post","2021","North East (England)","EO","Unknown","1905","1730","26620","27130"
"In post","2021","North East (England)","G6/G7","Heterosexual / straight","1440","1400","54640","52580"
"In post","2021","North East (England)","G6/G7","LGBO","70","70","52970","51890"
"In post","2021","North East (England)","G6/G7","Undeclared","150","145","56250","52580"
"In post","2021","North East (England)","G6/G7","Unknown","375","360","55170","52580"
"In post","2021","North East (England)","SCS level","Heterosexual / straight","85","85","87800","78110"
"In post","2021","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","North East (England)","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Heterosexual / straight","4305","4065","34840","33250"
"In post","2021","North East (England)","SEO/HEO","LGBO","225","220","34040","31990"
"In post","2021","North East (England)","SEO/HEO","Undeclared","445","420","35550","34290"
"In post","2021","North East (England)","SEO/HEO","Unknown","1180","1130","34390","31990"
"In post","2021","North East (England)","Unknown","Heterosexual / straight","605","565","29240","28200"
"In post","2021","North East (England)","Unknown","LGBO","30","25","[c]","[c]"
"In post","2021","North East (England)","Unknown","Undeclared","50","45","32430","34340"
"In post","2021","North East (England)","Unknown","Unknown","30","25","25150","22920"
"In post","2021","North West (England)","AA/AO","Heterosexual / straight","12690","11355","21460","21010"
"In post","2021","North West (England)","AA/AO","LGBO","755","720","21640","21010"
"In post","2021","North West (England)","AA/AO","Undeclared","1575","1380","21530","21010"
"In post","2021","North West (England)","AA/AO","Unknown","6095","5335","21660","21010"
"In post","2021","North West (England)","EO","Heterosexual / straight","12205","11285","26860","27570"
"In post","2021","North West (England)","EO","LGBO","740","720","26860","27570"
"In post","2021","North West (England)","EO","Undeclared","1470","1335","27060","27570"
"In post","2021","North West (England)","EO","Unknown","3960","3605","26970","27570"
"In post","2021","North West (England)","G6/G7","Heterosexual / straight","3230","3120","56350","52580"
"In post","2021","North West (England)","G6/G7","LGBO","170","165","56720","53450"
"In post","2021","North West (England)","G6/G7","Undeclared","340","325","56790","53430"
"In post","2021","North West (England)","G6/G7","Unknown","825","795","56020","52590"
"In post","2021","North West (England)","SCS level","Heterosexual / straight","190","185","89060","82300"
"In post","2021","North West (England)","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","North West (England)","SCS level","Undeclared","20","15","[c]","[c]"
"In post","2021","North West (England)","SCS level","Unknown","65","65","81100","74250"
"In post","2021","North West (England)","SEO/HEO","Heterosexual / straight","9075","8650","35320","33840"
"In post","2021","North West (England)","SEO/HEO","LGBO","495","485","34890","33260"
"In post","2021","North West (England)","SEO/HEO","Undeclared","1060","1005","35750","34290"
"In post","2021","North West (England)","SEO/HEO","Unknown","2350","2255","34380","32100"
"In post","2021","North West (England)","Unknown","Heterosexual / straight","1590","1485","30710","30210"
"In post","2021","North West (England)","Unknown","LGBO","115","115","29760","28200"
"In post","2021","North West (England)","Unknown","Undeclared","150","140","32790","32390"
"In post","2021","North West (England)","Unknown","Unknown","170","150","28350","28200"
"In post","2021","Northern Ireland","AA/AO","Heterosexual / straight","1105","1025","20850","20310"
"In post","2021","Northern Ireland","AA/AO","LGBO","45","40","20490","20140"
"In post","2021","Northern Ireland","AA/AO","Undeclared","95","90","21340","20810"
"In post","2021","Northern Ireland","AA/AO","Unknown","440","400","20490","20140"
"In post","2021","Northern Ireland","EO","Heterosexual / straight","665","625","26730","25560"
"In post","2021","Northern Ireland","EO","LGBO","35","30","26160","25560"
"In post","2021","Northern Ireland","EO","Undeclared","60","55","26450","25560"
"In post","2021","Northern Ireland","EO","Unknown","225","215","26150","25560"
"In post","2021","Northern Ireland","G6/G7","Heterosexual / straight","185","180","56310","52580"
"In post","2021","Northern Ireland","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","Unknown","35","35","54540","52680"
"In post","2021","Northern Ireland","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Northern Ireland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Northern Ireland","SEO/HEO","Heterosexual / straight","665","640","35030","32120"
"In post","2021","Northern Ireland","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Northern Ireland","SEO/HEO","Undeclared","60","55","34560","33390"
"In post","2021","Northern Ireland","SEO/HEO","Unknown","165","160","34200","31810"
"In post","2021","Northern Ireland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","Heterosexual / straight","45","45","22330","23000"
"In post","2021","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Overseas","EO","Heterosexual / straight","200","195","27860","26990"
"In post","2021","Overseas","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Overseas","EO","Undeclared","45","45","28070","27370"
"In post","2021","Overseas","EO","Unknown","25","25","[c]","[c]"
"In post","2021","Overseas","G6/G7","Heterosexual / straight","850","850","60170","58030"
"In post","2021","Overseas","G6/G7","LGBO","80","80","58130","55650"
"In post","2021","Overseas","G6/G7","Undeclared","115","115","61050","58850"
"In post","2021","Overseas","G6/G7","Unknown","290","290","59190","57010"
"In post","2021","Overseas","SCS level","Heterosexual / straight","210","210","86090","77600"
"In post","2021","Overseas","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","Overseas","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2021","Overseas","SCS level","Unknown","35","35","86560","77460"
"In post","2021","Overseas","SEO/HEO","Heterosexual / straight","1000","995","39460","34770"
"In post","2021","Overseas","SEO/HEO","LGBO","55","55","36190","34770"
"In post","2021","Overseas","SEO/HEO","Undeclared","145","145","37530","34770"
"In post","2021","Overseas","SEO/HEO","Unknown","345","340","42840","41600"
"In post","2021","Overseas","Unknown","Heterosexual / straight","190","190","[c]","[c]"
"In post","2021","Overseas","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Overseas","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Overseas","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Scotland","AA/AO","Heterosexual / straight","8610","7775","22090","21010"
"In post","2021","Scotland","AA/AO","LGBO","510","490","21580","21010"
"In post","2021","Scotland","AA/AO","Undeclared","1905","1685","22100","21010"
