"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Birmingham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Central Hampshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Sussex CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Suffolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","West Sussex (North East)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","SEO","10","10","41860","42320"
"In post","2021","Analysis","Digital, Data and Technology","Flintshire and Wrexham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Glasgow City","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Leeds","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Liverpool","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Manchester","HEO","[c]","[c]","[c]","[c]"
