"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","SEO/HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","East of England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","East of England","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","EO","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","East of England","G6/G7","Heterosexual / straight","30","30","52350","51750"
"In post","2021","Analysis","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","G6/G7","Unknown","45","45","52100","48080"
"In post","2021","Analysis","East of England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","SEO/HEO","Heterosexual / straight","75","70","33120","31810"
"In post","2021","Analysis","East of England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","East of England","SEO/HEO","Unknown","125","120","33250","31070"
"In post","2021","Analysis","London","AA/AO","Heterosexual / straight","35","35","24470","24900"
"In post","2021","Analysis","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","London","EO","Heterosexual / straight","155","150","28870","28600"
"In post","2021","Analysis","London","EO","LGBO","20","15","[c]","[c]"
"In post","2021","Analysis","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","London","EO","Unknown","70","70","28700","28820"
"In post","2021","Analysis","London","G6/G7","Heterosexual / straight","950","905","62580","59160"
"In post","2021","Analysis","London","G6/G7","LGBO","85","80","60810","59130"
"In post","2021","Analysis","London","G6/G7","Undeclared","115","110","64050","59540"
"In post","2021","Analysis","London","G6/G7","Unknown","290","280","60440","57850"
"In post","2021","Analysis","London","SCS level","Heterosexual / straight","90","85","89170","80920"
"In post","2021","Analysis","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","London","SEO/HEO","Heterosexual / straight","1060","1040","37970","36200"
"In post","2021","Analysis","London","SEO/HEO","LGBO","110","110","37430","36160"
"In post","2021","Analysis","London","SEO/HEO","Undeclared","115","110","38800","37890"
"In post","2021","Analysis","London","SEO/HEO","Unknown","285","280","37410","36160"
"In post","2021","Analysis","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","North East (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","North East (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","EO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Analysis","North West (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","North West (England)","G6/G7","Heterosexual / straight","70","65","52380","52580"
"In post","2021","Analysis","North West (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","North West (England)","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","North West (England)","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","North West (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","SEO/HEO","Heterosexual / straight","155","150","35390","33270"
"In post","2021","Analysis","North West (England)","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","North West (England)","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","North West (England)","SEO/HEO","Unknown","45","40","34350","31810"
"In post","2021","Analysis","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","G6/G7","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Analysis","Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Scotland","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","EO","Heterosexual / straight","45","40","25800","26350"
"In post","2021","Analysis","South East (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","South East (England)","G6/G7","Heterosexual / straight","220","205","50900","49100"
"In post","2021","Analysis","South East (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","South East (England)","G6/G7","Unknown","45","45","52170","50090"
"In post","2021","Analysis","South East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","SEO/HEO","Heterosexual / straight","345","330","33820","36030"
"In post","2021","Analysis","South East (England)","SEO/HEO","LGBO","35","35","31820","29840"
"In post","2021","Analysis","South East (England)","SEO/HEO","Undeclared","30","25","[c]","[c]"
"In post","2021","Analysis","South East (England)","SEO/HEO","Unknown","85","80","33310","31700"
"In post","2021","Analysis","South West (England)","AA/AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","EO","Heterosexual / straight","35","35","26370","25880"
"In post","2021","Analysis","South West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","EO","Unknown","30","25","[c]","[c]"
"In post","2021","Analysis","South West (England)","G6/G7","Heterosexual / straight","60","60","55960","56790"
"In post","2021","Analysis","South West (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","South West (England)","G6/G7","Unknown","20","20","[c]","[c]"
