"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","Female","75","65","30300","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","Male","40","35","34330","29190"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","Female","55","55","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","Male","30","30","31820","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","Female","30","30","31860","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","Female","60","55","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","Male","35","35","31530","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","Female","50","45","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","Female","40","35","31420","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","Male","30","30","32250","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","Female","60","55","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","Male","35","35","29750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Outside London","Female","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","Male","45","45","30700","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","London","Female","115","105","40100","38670"
