"Status","Year","Disability","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Birmingham","45","40","40120","38760"
"In post","2021","Declared disabled","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Brighton and Hove","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bristol, City of","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cardiff and Vale of Glamorgan","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Croydon","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon CC","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Cumbria","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Kent","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Flintshire and Wrexham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Heart of Essex","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Hertfordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Kingston upon Hull, City of","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leeds","30","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leicester","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lewisham and Southwark","[c]","[c]","[c]","[c]"
