"Status","Year","Age","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Economics","London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Finance","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Female","25","25","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Outside London","Female","235","220","20990","20880"
"In post","2021","16-19","Operational Delivery","Outside London","Male","145","135","21140","20960"
"In post","2021","16-19","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Outside London","Female","20","20","[c]","[c]"
"In post","2021","16-19","Other","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Male","30","30","19060","16200"
"In post","2021","16-19","Policy","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Policy","London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Policy","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Policy","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Property","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Outside London","Female","20","20","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Outside London","Male","100","100","17540","16780"
"In post","2021","16-19","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Outside London","Female","80","75","20270","20140"
"In post","2021","16-19","Tax","Outside London","Male","70","65","20460","20140"
"In post","2021","16-19","Unknown","London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Female","175","175","21980","21010"
"In post","2021","16-19","Unknown","Outside London","Male","120","115","21750","21010"
"In post","2021","16-19","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","Female","85","85","37800","37000"
"In post","2021","20-29","Commercial","London","Male","55","55","38060","35060"
"In post","2021","20-29","Commercial","Outside London","Female","365","365","29220","28810"
"In post","2021","20-29","Commercial","Outside London","Male","335","335","29320","28280"
"In post","2021","20-29","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","London","Female","375","375","36120","34710"
"In post","2021","20-29","Communications","London","Male","220","220","37490","36660"
"In post","2021","20-29","Communications","Outside London","Female","170","165","28220","27380"
"In post","2021","20-29","Communications","Outside London","Male","70","70","28450","26570"
"In post","2021","20-29","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
