"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","AA/AO","AO","15","15","21200","21050"
"In post","2021","Commercial","East Midlands (England)","EO","EO","15","15","25660","26370"
"In post","2021","Commercial","East Midlands (England)","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6/G7","G7","30","25","57840","54040"
"In post","2021","Commercial","East Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO/HEO","HEO","15","15","31420","31180"
"In post","2021","Commercial","East Midlands (England)","SEO/HEO","SEO","50","45","44490","42510"
"In post","2021","Commercial","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","EO","EO","25","25","25950","26670"
"In post","2021","Commercial","East of England","G6/G7","G6","10","10","73550","72130"
"In post","2021","Commercial","East of England","G6/G7","G7","20","20","52570","48640"
"In post","2021","Commercial","East of England","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","East of England","SEO/HEO","HEO","75","70","31740","31620"
"In post","2021","Commercial","East of England","SEO/HEO","SEO","100","100","41050","40500"
"In post","2021","Commercial","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","AO","50","45","23760","24100"
"In post","2021","Commercial","London","EO","EO","105","100","29060","29740"
"In post","2021","Commercial","London","G6/G7","G6","85","85","72540","71080"
"In post","2021","Commercial","London","G6/G7","G7","150","145","58430","57050"
"In post","2021","Commercial","London","SCS level","SCS level","55","50","87030","79150"
"In post","2021","Commercial","London","SEO/HEO","HEO","135","135","35100","34710"
"In post","2021","Commercial","London","SEO/HEO","SEO","290","285","44340","43350"
"In post","2021","Commercial","London","Unknown","Unknown","10","10","45860","41060"
"In post","2021","Commercial","North East (England)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Commercial","North East (England)","G6/G7","G7","20","20","54070","50740"
"In post","2021","Commercial","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","SEO/HEO","HEO","25","25","30810","30200"
"In post","2021","Commercial","North East (England)","SEO/HEO","SEO","50","50","41910","40780"
"In post","2021","Commercial","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Commercial","North West (England)","EO","EO","70","65","25230","25000"
"In post","2021","Commercial","North West (England)","G6/G7","G6","25","25","71660","65630"
"In post","2021","Commercial","North West (England)","G6/G7","G7","70","65","52100","50400"
"In post","2021","Commercial","North West (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","SEO/HEO","HEO","120","115","29910","29690"
"In post","2021","Commercial","North West (England)","SEO/HEO","SEO","210","200","39250","38630"
"In post","2021","Commercial","North West (England)","Unknown","Unknown","20","15","40960","41920"
"In post","2021","Commercial","Northern Ireland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","HEO","10","10","37810","36460"
"In post","2021","Commercial","Overseas","SEO/HEO","SEO","10","10","47440","46410"
"In post","2021","Commercial","Scotland","AA/AO","AA","20","15","20370","20810"
"In post","2021","Commercial","Scotland","AA/AO","AO","40","40","24940","25870"
"In post","2021","Commercial","Scotland","EO","EO","35","35","27760","26670"
"In post","2021","Commercial","Scotland","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","G6/G7","G7","30","25","52290","51960"
"In post","2021","Commercial","Scotland","SEO/HEO","HEO","65","65","34840","33930"
"In post","2021","Commercial","Scotland","SEO/HEO","SEO","65","65","42080","42080"
"In post","2021","Commercial","Scotland","Unknown","Unknown","15","15","34960","28880"
"In post","2021","Commercial","South East (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","AA/AO","AO","25","25","22420","22440"
"In post","2021","Commercial","South East (England)","EO","EO","80","75","26430","26670"
"In post","2021","Commercial","South East (England)","G6/G7","G6","15","15","70440","66970"
"In post","2021","Commercial","South East (England)","G6/G7","G7","35","35","58980","57330"
"In post","2021","Commercial","South East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","SEO/HEO","HEO","120","120","33410","33300"
"In post","2021","Commercial","South East (England)","SEO/HEO","SEO","170","165","43030","42080"
"In post","2021","Commercial","South East (England)","Unknown","Unknown","10","10","30920","26670"
"In post","2021","Commercial","South West (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","AA/AO","AO","30","30","21080","20920"
"In post","2021","Commercial","South West (England)","EO","EO","220","205","24170","23520"
"In post","2021","Commercial","South West (England)","G6/G7","G6","95","95","67730","67150"
"In post","2021","Commercial","South West (England)","G6/G7","G7","245","240","52090","51280"
"In post","2021","Commercial","South West (England)","SCS level","SCS level","20","20","103140","98520"
"In post","2021","Commercial","South West (England)","SEO/HEO","HEO","490","465","31900","33000"
"In post","2021","Commercial","South West (England)","SEO/HEO","SEO","465","445","40730","40580"
"In post","2021","Commercial","South West (England)","Unknown","Unknown","145","145","38640","36500"
"In post","2021","Commercial","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Wales","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Commercial","Wales","AA/AO","AO","35","30","21510","21590"
"In post","2021","Commercial","Wales","EO","EO","70","65","26380","26740"
"In post","2021","Commercial","Wales","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Wales","G6/G7","G7","35","35","52690","52240"
"In post","2021","Commercial","Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","SEO/HEO","HEO","90","85","31220","31160"
"In post","2021","Commercial","Wales","SEO/HEO","SEO","80","75","41180","40480"
"In post","2021","Commercial","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","AA/AO","AO","10","10","20900","20960"
"In post","2021","Commercial","West Midlands (England)","EO","EO","45","45","26320","26350"
"In post","2021","Commercial","West Midlands (England)","G6/G7","G6","10","10","73070","70290"
"In post","2021","Commercial","West Midlands (England)","G6/G7","G7","25","25","56170","54630"
"In post","2021","Commercial","West Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","SEO/HEO","HEO","45","45","32530","32200"
"In post","2021","Commercial","West Midlands (England)","SEO/HEO","SEO","105","105","42140","40580"
"In post","2021","Commercial","West Midlands (England)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","AA/AO","AO","10","10","20960","20890"
"In post","2021","Commercial","Yorkshire and The Humber","EO","EO","30","30","25040","25000"
"In post","2021","Commercial","Yorkshire and The Humber","G6/G7","G6","25","25","67070","64500"
"In post","2021","Commercial","Yorkshire and The Humber","G6/G7","G7","55","55","52760","50940"
"In post","2021","Commercial","Yorkshire and The Humber","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","SEO/HEO","HEO","95","90","29810","29370"
"In post","2021","Commercial","Yorkshire and The Humber","SEO/HEO","SEO","150","145","40110","38000"
"In post","2021","Commercial","Yorkshire and The Humber","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AA/AO","AO","10","5","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","EO","EO","20","15","25620","26700"
"In post","2021","Communications","East Midlands (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","G6/G7","G7","20","20","52200","52580"
"In post","2021","Communications","East Midlands (England)","SEO/HEO","HEO","30","25","31550","31970"
"In post","2021","Communications","East Midlands (England)","SEO/HEO","SEO","30","25","39600","38820"
"In post","2021","Communications","East of England","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","AA/AO","AO","10","10","21330","21020"
"In post","2021","Communications","East of England","EO","EO","20","20","27040","26800"
"In post","2021","Communications","East of England","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","G6/G7","G7","10","10","54200","52840"
"In post","2021","Communications","East of England","SEO/HEO","HEO","30","30","32580","33200"
"In post","2021","Communications","East of England","SEO/HEO","SEO","15","15","41750","41610"
"In post","2021","Communications","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","AO","65","60","24640","24900"
"In post","2021","Communications","London","EO","EO","235","235","28560","27850"
"In post","2021","Communications","London","G6/G7","G6","165","160","69190","69060"
"In post","2021","Communications","London","G6/G7","G7","480","465","55810","54870"
"In post","2021","Communications","London","SCS level","SCS level","100","100","88190","82220"
"In post","2021","Communications","London","SEO/HEO","HEO","520","510","36030","35730"
"In post","2021","Communications","London","SEO/HEO","SEO","525","515","43030","42870"
"In post","2021","Communications","North East (England)","AA/AO","AO","15","15","21520","21590"
"In post","2021","Communications","North East (England)","EO","EO","30","25","26690","26000"
"In post","2021","Communications","North East (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Communications","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","SEO/HEO","HEO","30","30","31060","31810"
"In post","2021","Communications","North East (England)","SEO/HEO","SEO","30","30","39170","38630"
"In post","2021","Communications","North West (England)","AA/AO","AO","15","15","20930","21000"
"In post","2021","Communications","North West (England)","EO","EO","35","30","26130","26000"
"In post","2021","Communications","North West (England)","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Communications","North West (England)","G6/G7","G7","30","30","51200","52580"
"In post","2021","Communications","North West (England)","SEO/HEO","HEO","50","50","31640","31810"
"In post","2021","Communications","North West (England)","SEO/HEO","SEO","60","60","38360","38630"
"In post","2021","Communications","Northern Ireland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SEO/HEO","SEO","10","10","38390","37910"
"In post","2021","Communications","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","EO","EO","15","15","27990","28870"
"In post","2021","Communications","Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","SEO/HEO","HEO","25","25","34640","35230"
"In post","2021","Communications","Scotland","SEO/HEO","SEO","15","15","41610","40290"
"In post","2021","Communications","South East (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","AA/AO","AO","35","30","21450","21580"
"In post","2021","Communications","South East (England)","EO","EO","90","85","26980","26670"
"In post","2021","Communications","South East (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","G6/G7","G7","25","20","51740","52000"
"In post","2021","Communications","South East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","SEO/HEO","HEO","80","80","33380","33300"
"In post","2021","Communications","South East (England)","SEO/HEO","SEO","60","60","40310","40580"
"In post","2021","Communications","South West (England)","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Communications","South West (England)","AA/AO","AO","25","20","21140","21090"
"In post","2021","Communications","South West (England)","EO","EO","55","55","26740","26670"
"In post","2021","Communications","South West (England)","G6/G7","G6","10","10","65440","65260"
