"Status","Year","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","Female","2580","2355","31450","29290"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","Male","1960","1895","33820","30760"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","4785","4420","31530","28550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","4805","4705","34270","31810"
"In post","2021","Cheshire","Outside London","Female","2185","2015","29990","27570"
"In post","2021","Cheshire","Outside London","Male","1715","1670","32950","31650"
"In post","2021","Cornwall and Isles of Scilly","Outside London","Female","920","795","26230","26590"
"In post","2021","Cornwall and Isles of Scilly","Outside London","Male","730","700","27040","26670"
"In post","2021","Cumbria","Outside London","Female","1240","1075","26570","24920"
"In post","2021","Cumbria","Outside London","Male","900","880","29940","26670"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","Female","6925","6220","30140","27570"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","Male","5365","5165","32040","27570"
"In post","2021","Devon","Outside London","Female","4350","3800","29310","27130"
"In post","2021","Devon","Outside London","Male","4665","4490","33130","30810"
"In post","2021","Dorset and Somerset","Outside London","Female","2505","2220","28350","27380"
"In post","2021","Dorset and Somerset","Outside London","Male","2705","2615","30840","28220"
"In post","2021","East Anglia","Outside London","Female","6370","5720","28940","27140"
"In post","2021","East Anglia","Outside London","Male","6095","5880","31370","28430"
"In post","2021","East Wales","Outside London","Female","10990","9965","31460","27570"
"In post","2021","East Wales","Outside London","Male","9370","9075","33800","28850"
"In post","2021","East Wales","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","Female","2320","2025","26710","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","Male","2385","2280","29010","27130"
"In post","2021","Eastern Scotland","Outside London","Female","10715","9825","33600","28130"
"In post","2021","Eastern Scotland","Outside London","Male","9120","8820","35140","31810"
"In post","2021","Essex","Outside London","Female","3225","2880","29620","29290"
"In post","2021","Essex","Outside London","Male","2370","2255","32380","29290"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","13655","12540","33970","30680"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","15660","15290","38630","36010"
"In post","2021","Greater Manchester","Outside London","Female","10750","9815","30180","27570"
"In post","2021","Greater Manchester","Outside London","Male","8960","8690","31880","27570"
"In post","2021","Hampshire and Isle of Wight","Outside London","Female","7590","6775","30310","27570"
"In post","2021","Hampshire and Isle of Wight","Outside London","Male","7755","7385","33880","31070"
"In post","2021","Hampshire and Isle of Wight","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","2150","1940","27170","25370"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","1835","1790","29010","26930"
"In post","2021","Highlands and Islands","Outside London","Female","1010","920","27920","27570"
"In post","2021","Highlands and Islands","Outside London","Male","940","910","29740","27570"
"In post","2021","Inner London - East","London","Female","9640","9020","40260","33930"
"In post","2021","Inner London - East","London","Male","7560","7365","44310","37660"
"In post","2021","Inner London - West","London","Female","32310","30975","45810","40650"
"In post","2021","Inner London - West","London","Male","28810","28485","48390","43170"
"In post","2021","Inner London - West","London","Unknown","25","25","[c]","[c]"
"In post","2021","Kent","Outside London","Female","4225","3835","28720","27370"
"In post","2021","Kent","Outside London","Male","4300","4130","30530","29290"
"In post","2021","Lancashire","Outside London","Female","8270","7255","27680","27130"
"In post","2021","Lancashire","Outside London","Male","5840","5560","29060","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Outside London","Female","3650","3210","26690","24900"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Outside London","Male","2600","2505","28430","27130"
"In post","2021","Lincolnshire","Outside London","Female","1445","1325","26730","25600"
"In post","2021","Lincolnshire","Outside London","Male","1385","1340","29580","27570"
