"Status","Year","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","2675","2445","28460","27570"
"In post","2021","Declared disabled","East of England","2580","2360","29890","27570"
"In post","2021","Declared disabled","London","9205","8750","40530","35070"
"In post","2021","Declared disabled","North East (England)","3420","3000","26970","25560"
"In post","2021","Declared disabled","North West (England)","7010","6300","28250","27190"
"In post","2021","Declared disabled","Northern Ireland","325","300","27380","25560"
"In post","2021","Declared disabled","Overseas","225","225","48160","45750"
"In post","2021","Declared disabled","Scotland","4465","4065","30400","27570"
"In post","2021","Declared disabled","South East (England)","4570","4200","30230","27570"
"In post","2021","Declared disabled","South West (England)","4760","4400","32260","28200"
"In post","2021","Declared disabled","Unknown","195","180","31390","27570"
"In post","2021","Declared disabled","Wales","3545","3165","28670","26780"
"In post","2021","Declared disabled","West Midlands (England)","3600","3275","28900","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","3990","3590","30050","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","14255","13150","30080","27570"
"In post","2021","Declared non-disabled","East of England","15505","14370","30630","27850"
"In post","2021","Declared non-disabled","London","67285","64515","43760","37640"
"In post","2021","Declared non-disabled","North East (England)","20320","18255","28730","26120"
"In post","2021","Declared non-disabled","North West (England)","40265","37075","29700","27570"
"In post","2021","Declared non-disabled","Northern Ireland","2315","2180","28650","25560"
"In post","2021","Declared non-disabled","Overseas","2570","2560","49430","47490"
"In post","2021","Declared non-disabled","Scotland","26970","25020","32510","27570"
"In post","2021","Declared non-disabled","South East (England)","27935","26020","31590","28480"
"In post","2021","Declared non-disabled","South West (England)","31675","29745","34490","31600"
"In post","2021","Declared non-disabled","Unknown","1015","950","32960","27570"
"In post","2021","Declared non-disabled","Wales","24980","23015","31660","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","20820","19240","30310","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","24990","22975","31510","27570"
