"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","Male","45","45","56730","54280"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","Female","65","60","39120","40000"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","Male","60","60","38620","38270"
"In post","2021","Analysis","Economics","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Economics","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Analysis","Economics","EO","Female","40","40","26520","26510"
"In post","2021","Analysis","Economics","EO","Male","45","45","27720","27680"
"In post","2021","Analysis","Economics","G6/G7","Female","180","165","59630","57620"
"In post","2021","Analysis","Economics","G6/G7","Male","330","325","60090","58930"
"In post","2021","Analysis","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Economics","SCS level","Male","40","40","89010","81770"
"In post","2021","Analysis","Economics","SEO/HEO","Female","175","175","34210","33880"
"In post","2021","Analysis","Economics","SEO/HEO","Male","400","395","35140","34000"
"In post","2021","Analysis","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","G6/G7","Female","100","95","57880","54590"
"In post","2021","Analysis","Intelligence Analysis","G6/G7","Male","100","100","58100","54160"
"In post","2021","Analysis","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SEO/HEO","Female","35","30","36410","36820"
"In post","2021","Analysis","Intelligence Analysis","SEO/HEO","Male","40","40","37250","34350"
"In post","2021","Analysis","Knowledge and Information Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","SEO/HEO","Female","15","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","EO","Female","110","95","25120","24240"
"In post","2021","Analysis","Operational Delivery","EO","Male","65","60","24560","24380"
"In post","2021","Analysis","Operational Delivery","G6/G7","Female","30","30","51620","49110"
"In post","2021","Analysis","Operational Delivery","G6/G7","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SEO/HEO","Female","160","150","33580","32540"
"In post","2021","Analysis","Operational Delivery","SEO/HEO","Male","165","160","33560","32540"
"In post","2021","Analysis","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Operational Research","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","G6/G7","Female","80","70","57600","58130"
"In post","2021","Analysis","Operational Research","G6/G7","Male","195","190","54120","53000"
"In post","2021","Analysis","Operational Research","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Research","SEO/HEO","Female","125","120","36170","36240"
"In post","2021","Analysis","Operational Research","SEO/HEO","Male","205","200","37200","37320"
"In post","2021","Analysis","Operational Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Other","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Other","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Other","G6/G7","Female","50","40","77580","71220"
"In post","2021","Analysis","Other","G6/G7","Male","70","70","88450","85490"
"In post","2021","Analysis","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Other","SEO/HEO","Male","45","45","40570","38370"
"In post","2021","Analysis","Policy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","G6/G7","Female","65","55","56570","54400"
"In post","2021","Analysis","Policy","G6/G7","Male","70","65","58490","54400"
"In post","2021","Analysis","Policy","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","SEO/HEO","Female","100","90","40530","41990"
"In post","2021","Analysis","Policy","SEO/HEO","Male","85","85","39800","39640"
"In post","2021","Analysis","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Psychology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","EO","Female","55","50","25260","24920"
"In post","2021","Analysis","Science and Engineering","EO","Male","45","40","25130","24920"
"In post","2021","Analysis","Science and Engineering","G6/G7","Female","35","30","51950","48080"
"In post","2021","Analysis","Science and Engineering","G6/G7","Male","115","110","53240","49030"
"In post","2021","Analysis","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","SEO/HEO","Female","160","145","33070","31070"
"In post","2021","Analysis","Science and Engineering","SEO/HEO","Male","220","220","33270","30660"
"In post","2021","Analysis","Social Research","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","G6/G7","Female","165","155","55760","54930"
