"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East Anglia","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","G6","10","10","[c]","[c]"
