"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","AA/AO","AA","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Unknown","EO","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SEO/HEO","HEO","20","20","34960","35110"
"In post","2021","Accountant in Bankruptcy","Unknown","SEO/HEO","SEO","10","10","46490","46600"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","HEO","10","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","EO","10","10","27160","26520"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","G7","10","10","59430","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","HEO","15","15","38270","39120"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","SEO","20","20","46870","47750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","EO","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","HEO","5","5","[c]","[c]"
