"Status","Year","Parent_department","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Female","Heterosexual / straight","50","50","43910","39750"
"In post","2021","Attorney General's Departments","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Female","Heterosexual / straight","70","70","42520","38860"
"In post","2021","Attorney General's Departments","Counter Fraud","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Female","Unknown","30","30","43900","34020"
"In post","2021","Attorney General's Departments","Counter Fraud","Male","Heterosexual / straight","110","110","48030","41280"
"In post","2021","Attorney General's Departments","Counter Fraud","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Male","Unknown","45","45","46490","40270"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Female","Heterosexual / straight","60","55","39060","35290"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Male","Heterosexual / straight","80","80","42260","39750"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Female","Heterosexual / straight","70","65","32730","30720"
"In post","2021","Attorney General's Departments","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Male","Heterosexual / straight","50","50","38490","31560"
"In post","2021","Attorney General's Departments","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Male","Unknown","5","5","[c]","[c]"
