"Status","Year","Age","Disability","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","AA","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","AO","20","20","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","AA","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","AO","30","30","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","EO","55","50","26570","26410"
"In post","2021","16-19","Declared non-disabled","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Outside London","AA","105","100","19130","19560"
"In post","2021","16-19","Declared non-disabled","Outside London","AO","340","330","21210","21010"
"In post","2021","16-19","Declared non-disabled","Outside London","EO","130","130","22180","20570"
"In post","2021","16-19","Declared non-disabled","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","AO","[c]","[c]","[c]","[c]"
