"Status","Year","Disability","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","London","Female","45","40","44600","40480"
"In post","2021","Declared disabled","Commercial","London","Male","35","35","44240","42180"
"In post","2021","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","Female","265","250","38000","36480"
"In post","2021","Declared disabled","Commercial","Outside London","Male","155","150","40060","38020"
"In post","2021","Declared disabled","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Female","55","55","44200","40640"
"In post","2021","Declared disabled","Communications","London","Male","40","40","42610","39300"
"In post","2021","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","Female","95","85","34680","31810"
"In post","2021","Declared disabled","Communications","Outside London","Male","70","65","32210","29200"
"In post","2021","Declared disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Female","30","30","32210","31000"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","London","Female","85","80","45660","41920"
"In post","2021","Declared disabled","Digital, Data and Technology","London","Male","145","145","47300","43510"
"In post","2021","Declared disabled","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","Female","325","305","35200","33110"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","Male","480","470","38450","36320"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","London","Female","30","30","[c]","[c]"
"In post","2021","Declared disabled","Economics","London","Male","55","55","47620","52290"
"In post","2021","Declared disabled","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","Female","90","85","45650","40780"
"In post","2021","Declared disabled","Finance","London","Male","90","90","49910","45200"
"In post","2021","Declared disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outside London","Female","365","330","33920","30370"
"In post","2021","Declared disabled","Finance","Outside London","Male","225","215","36360","33300"
"In post","2021","Declared disabled","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","London","Female","195","190","48340","43110"
"In post","2021","Declared disabled","Human Resources","London","Male","105","105","46160","40320"
"In post","2021","Declared disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Outside London","Female","495","460","35890","32180"
"In post","2021","Declared disabled","Human Resources","Outside London","Male","175","170","37720","32740"
"In post","2021","Declared disabled","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Outside London","Female","30","30","58940","51360"
"In post","2021","Declared disabled","Inspector of Education and Training","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","London","Female","55","55","35230","31360"
"In post","2021","Declared disabled","Intelligence Analysis","London","Male","70","70","40680","36510"
"In post","2021","Declared disabled","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","Female","95","85","28670","27370"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","Male","85","80","31560","30980"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","Female","35","35","41030","39980"
"In post","2021","Declared disabled","Internal Audit","Outside London","Male","35","35","41500","39980"
"In post","2021","Declared disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","London","Female","45","40","44890","39440"
"In post","2021","Declared disabled","International Trade","London","Male","30","30","49350","51970"
"In post","2021","Declared disabled","International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Overseas","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","London","Female","40","40","36690","32930"
"In post","2021","Declared disabled","Knowledge and Information Management","London","Male","35","35","39830","35940"
"In post","2021","Declared disabled","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","Female","95","90","32500","33300"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","Male","90","90","33870","30460"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","Female","200","180","56290","59890"
"In post","2021","Declared disabled","Legal","London","Male","140","135","54130","52730"
"In post","2021","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Outside London","Female","385","345","44420","43460"
"In post","2021","Declared disabled","Legal","Outside London","Male","245","230","45370","45100"
"In post","2021","Declared disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
