"Status","Year","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Female","1115","1000","22310","21950"
"In post","2021","Attorney General's Departments","AA/AO","Male","420","410","22320","21950"
"In post","2021","Attorney General's Departments","EO","Female","1230","1125","28040","28430"
"In post","2021","Attorney General's Departments","EO","Male","525","515","28100","27870"
"In post","2021","Attorney General's Departments","G6/G7","Female","2955","2645","57860","55610"
"In post","2021","Attorney General's Departments","G6/G7","Male","1815","1765","59580","58040"
"In post","2021","Attorney General's Departments","SCS level","Female","185","170","86940","82250"
"In post","2021","Attorney General's Departments","SCS level","Male","125","125","88450","82860"
"In post","2021","Attorney General's Departments","SEO/HEO","Female","895","850","36520","37580"
"In post","2021","Attorney General's Departments","SEO/HEO","Male","560","555","36750","37730"
"In post","2021","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Female","315","285","21750","20920"
"In post","2021","Cabinet Office","AA/AO","Male","240","235","21890","20920"
"In post","2021","Cabinet Office","EO","Female","535","510","27150","27500"
"In post","2021","Cabinet Office","EO","Male","355","350","27300","27500"
"In post","2021","Cabinet Office","G6/G7","Female","1505","1460","59400","55950"
"In post","2021","Cabinet Office","G6/G7","Male","1525","1510","59800","56440"
"In post","2021","Cabinet Office","SCS level","Female","420","405","87650","75930"
"In post","2021","Cabinet Office","SCS level","Male","550","550","95640","81170"
"In post","2021","Cabinet Office","SEO/HEO","Female","2270","2235","33600","33300"
"In post","2021","Cabinet Office","SEO/HEO","Male","1750","1740","33720","33300"
"In post","2021","Chancellor's other departments","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Female","25","20","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Male","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Female","75","65","72410","67990"
"In post","2021","Chancellor's other departments","G6/G7","Male","110","105","79100","72110"
"In post","2021","Chancellor's other departments","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Female","70","65","42030","42400"
"In post","2021","Chancellor's other departments","SEO/HEO","Male","80","80","40990","41210"
"In post","2021","Charity Commission","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","EO","Female","65","60","24740","24440"
"In post","2021","Charity Commission","EO","Male","45","40","24800","24440"
"In post","2021","Charity Commission","G6/G7","Female","40","40","54640","51920"
"In post","2021","Charity Commission","G6/G7","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Female","130","125","32740","29550"
"In post","2021","Charity Commission","SEO/HEO","Male","105","105","33390","31350"
"In post","2021","Competition and Markets Authority","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Female","40","40","28640","28040"
"In post","2021","Competition and Markets Authority","EO","Male","35","35","28440","28070"
"In post","2021","Competition and Markets Authority","G6/G7","Female","220","205","65750","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Male","210","205","66870","65340"
"In post","2021","Competition and Markets Authority","SCS level","Female","50","45","107270","99920"
"In post","2021","Competition and Markets Authority","SCS level","Male","65","65","111010","102520"
"In post","2021","Competition and Markets Authority","SEO/HEO","Female","110","110","37760","35680"
"In post","2021","Competition and Markets Authority","SEO/HEO","Male","85","85","37910","35000"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Female","945","840","21690","21000"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Male","550","540","21530","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Female","1110","1035","26120","26180"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Male","835","820","26930","26410"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Female","1555","1485","57460","55600"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Male","2065","2020","58060","57360"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS level","Female","170","160","81900","74920"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS level","Male","225","220","84810","75850"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","2700","2570","37210","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","3005","2945","38370","39360"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Female","125","120","27470","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Male","55","55","27240","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Female","415","400","58320","55220"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Male","390","385","59020","58600"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","Female","65","60","85910","75500"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","Male","55","55","87040","78180"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","350","345","36730","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","310","305","37360","34240"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Female","80","75","21930","21000"
"In post","2021","Department for Education","AA/AO","Male","30","30","21760","21000"
"In post","2021","Department for Education","EO","Female","585","555","26720","26000"
"In post","2021","Department for Education","EO","Male","370","370","26610","26000"
"In post","2021","Department for Education","G6/G7","Female","1620","1535","56100","53760"
"In post","2021","Department for Education","G6/G7","Male","1265","1250","57000","54400"
"In post","2021","Department for Education","SCS level","Female","170","160","82920","74100"
"In post","2021","Department for Education","SCS level","Male","130","130","85770","78000"
"In post","2021","Department for Education","SEO/HEO","Female","2180","2070","35600","36500"
"In post","2021","Department for Education","SEO/HEO","Male","1480","1470","35760","36500"
"In post","2021","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Female","1305","1145","21520","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Male","735","715","21510","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Female","1195","1095","26150","25320"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Male","860","840","26340","25450"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Female","1155","1095","54190","53200"
