"Status","Year","Ethnicity","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","AO","135","120","23730","23350"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","EO","235","215","28550","28550"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","G7","20","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","HEO","70","65","35000","35120"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","SEO","40","40","43170","42090"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Unknown","30","25","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA","25","25","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AO","175","155","23900","22510"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","230","215","28710","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G7","25","25","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","70","65","34650","34840"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO","45","45","41920","41830"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","AO","15","15","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","EO","25","25","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","AO","180","155","21080","21010"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","EO","185","175","26370","26700"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","G7","45","40","52690","52580"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","HEO","145","140","31560","31810"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","SEO","50","50","39470","38630"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","AO","10","5","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","AA","20","15","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","AO","170","130","21770","21430"
"In post","2021","Asian","East Anglia","Outside London","EO","105","95","26560","27130"
"In post","2021","Asian","East Anglia","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","G7","15","15","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","HEO","35","30","33400","33200"
"In post","2021","Asian","East Anglia","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","SEO","15","15","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Wales","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Asian","East Wales","Outside London","AO","110","100","20770","20140"
"In post","2021","Asian","East Wales","Outside London","EO","100","95","26390","25560"
"In post","2021","Asian","East Wales","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Asian","East Wales","Outside London","G7","25","25","[c]","[c]"
"In post","2021","Asian","East Wales","Outside London","HEO","50","50","32340","31810"
"In post","2021","Asian","East Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","Outside London","SEO","30","30","[c]","[c]"
"In post","2021","Asian","East Wales","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","EO","10","5","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Outside London","AO","55","50","21390","21010"
"In post","2021","Asian","Eastern Scotland","Outside London","EO","50","50","27530","27570"
"In post","2021","Asian","Eastern Scotland","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Outside London","HEO","25","25","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Outside London","SEO","35","35","44160","42190"
"In post","2021","Asian","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","AO","45","40","23530","24180"
"In post","2021","Asian","Essex","Outside London","EO","100","90","28400","29290"
"In post","2021","Asian","Essex","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","HEO","25","20","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","SEO","20","20","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AO","90","80","21280","21010"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","150","140","25380","26670"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6","15","15","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G7","65","65","53570","52580"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","HEO","170","165","31460","31810"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO","140","135","40750","40630"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","40","40","37090","32710"
"In post","2021","Asian","Greater Manchester","Outside London","AA","20","15","[c]","[c]"
"In post","2021","Asian","Greater Manchester","Outside London","AO","385","345","20730","20800"
"In post","2021","Asian","Greater Manchester","Outside London","EO","485","460","26320","26450"
"In post","2021","Asian","Greater Manchester","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Asian","Greater Manchester","Outside London","G7","80","80","52830","52580"
"In post","2021","Asian","Greater Manchester","Outside London","HEO","245","235","31710","31810"
"In post","2021","Asian","Greater Manchester","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Greater Manchester","Outside London","SEO","100","100","38510","38630"
"In post","2021","Asian","Greater Manchester","Outside London","Unknown","30","30","30060","29100"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","AA","35","30","20990","19560"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","AO","80","65","22100","21010"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","EO","80","75","27200","27530"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","G7","20","20","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","HEO","45","45","32310","31810"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","SEO","35","35","41950","40280"
"In post","2021","Asian","Hampshire and Isle of Wight","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","AA","10","5","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","AO","80","70","21750","21010"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","EO","65","60","26970","27570"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","HEO","15","10","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inner London - East","London","AA","25","25","[c]","[c]"
"In post","2021","Asian","Inner London - East","London","AO","445","385","24740","24630"
"In post","2021","Asian","Inner London - East","London","EO","895","835","30360","31060"
"In post","2021","Asian","Inner London - East","London","G6","80","80","71230","71290"
"In post","2021","Asian","Inner London - East","London","G7","255","250","57380","57050"
"In post","2021","Asian","Inner London - East","London","HEO","435","420","35810","36160"
"In post","2021","Asian","Inner London - East","London","SCS level","50","45","99150","97980"
"In post","2021","Asian","Inner London - East","London","SEO","285","275","42480","41760"
"In post","2021","Asian","Inner London - East","London","Unknown","45","40","30900","28210"
"In post","2021","Asian","Inner London - West","London","AA","70","65","22190","22210"
"In post","2021","Asian","Inner London - West","London","AO","590","540","25270","24490"
"In post","2021","Asian","Inner London - West","London","EO","1265","1210","29320","29390"
"In post","2021","Asian","Inner London - West","London","G6","340","330","68360","66600"
"In post","2021","Asian","Inner London - West","London","G7","1180","1150","56200","54760"
"In post","2021","Asian","Inner London - West","London","HEO","1480","1450","35240","35060"
"In post","2021","Asian","Inner London - West","London","SCS level","160","155","87670","78880"
"In post","2021","Asian","Inner London - West","London","SEO","900","885","42460","41950"
"In post","2021","Asian","Inner London - West","London","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Kent","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Asian","Kent","Outside London","AO","45","45","25100","24180"
"In post","2021","Asian","Kent","Outside London","EO","70","65","29410","29290"
