"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","Human Resources","SEO/HEO","45","45","37000","38350"
"In post","2021","Human Resources","Education and Skills Funding Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","ESTYN","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","Human Resources","EO","10","10","27120","26590"
"In post","2021","Human Resources","FCDO Services","Human Resources","G6/G7","10","10","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","Human Resources","SEO/HEO","15","15","42760","41740"
"In post","2021","Human Resources","Food Standards Agency","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Human Resources","G6/G7","10","10","52830","52070"
"In post","2021","Human Resources","Food Standards Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Human Resources","SEO/HEO","15","15","35690","37910"
"In post","2021","Human Resources","Food Standards Agency","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","AA/AO","10","10","28040","28000"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","EO","30","25","29770","30500"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","G6/G7","80","75","59410","57400"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","SEO/HEO","85","85","37340","37390"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","AA/AO","15","15","21770","21490"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","Unknown","AA/AO","25","25","19950","19160"
"In post","2021","Human Resources","Forestry and Land Scotland","Unknown","EO","15","15","29460","29140"
"In post","2021","Human Resources","Forestry and Land Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","Unknown","SEO/HEO","25","25","39590","37530"
"In post","2021","Human Resources","Government Actuary's Department","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Actuary's Department","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Actuary's Department","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Actuary's Department","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","Human Resources","EO","15","15","27650","27350"
"In post","2021","Human Resources","Government Legal Department","Human Resources","G6/G7","15","15","57890","51250"
"In post","2021","Human Resources","Government Legal Department","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","Human Resources","SEO/HEO","20","20","34270","33530"
"In post","2021","Human Resources","Government Property Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","Human Resources","G6/G7","20","20","58470","56260"
"In post","2021","Human Resources","Health and Safety Executive","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","Human Resources","SEO/HEO","20","20","36280","35910"
"In post","2021","Human Resources","Health and Safety Executive","Operational Delivery","AA/AO","15","15","21170","20480"
"In post","2021","Human Resources","Health and Safety Executive","Operational Delivery","EO","15","15","27300","26990"
"In post","2021","Human Resources","Health and Safety Executive","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Human Resources","EO","25","25","24320","23220"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Human Resources","G6/G7","30","25","53320","52850"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Human Resources","SEO/HEO","30","30","31340","30990"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Human Resources","EO","25","20","27130","27130"
"In post","2021","Human Resources","HM Land Registry","Human Resources","G6/G7","15","10","62780","60170"
"In post","2021","Human Resources","HM Land Registry","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Human Resources","SEO/HEO","50","45","40170","38550"
"In post","2021","Human Resources","HM Prison and Probation Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","Human Resources","EO","25","25","30300","29740"
"In post","2021","Human Resources","HM Prison and Probation Service","Human Resources","G6/G7","25","25","68410","65510"
"In post","2021","Human Resources","HM Prison and Probation Service","Human Resources","SEO/HEO","80","80","46240","48390"
"In post","2021","Human Resources","HM Prison and Probation Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","AA/AO","35","30","21500","21440"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","EO","105","95","26720","25560"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","G6/G7","190","185","57040","52770"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","SCS level","20","20","91490","85610"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","SEO/HEO","315","290","35320","35000"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Delivery","AA/AO","245","205","20910","21400"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Delivery","EO","170","160","25730","25560"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Delivery","G6/G7","30","30","54280","52580"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Delivery","SEO/HEO","140","130","33050","31810"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Tax","EO","60","55","26750","25560"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Tax","G6/G7","35","30","55880","53460"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Tax","SEO/HEO","80","75","34250","32460"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Unknown","AA/AO","15","10","20510","20140"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Unknown","EO","20","20","25600","25560"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Unknown","G6/G7","50","50","57560","58130"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Unknown","SCS level","5","5","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","Unknown","SEO/HEO","65","65","34100","31810"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Human Resources","AA/AO","15","15","20620","20500"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Human Resources","G6/G7","35","35","58560","58070"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Human Resources","SEO/HEO","20","20","37380","37900"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Treasury (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Insolvency Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Insolvency Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Insolvency Service","Human Resources","G6/G7","10","10","[c]","[c]"
"In post","2021","Human Resources","Insolvency Service","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Insolvency Service","Human Resources","SEO/HEO","30","30","39530","41470"
"In post","2021","Human Resources","Institute for Apprenticeships and Technical Education","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Institute for Apprenticeships and Technical Education","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Institute for Apprenticeships and Technical Education","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal Aid Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal Aid Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Maritime and Coastguard Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Maritime and Coastguard Agency","Human Resources","EO","10","10","26300","26350"
"In post","2021","Human Resources","Maritime and Coastguard Agency","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Maritime and Coastguard Agency","Human Resources","SEO/HEO","20","15","34470","32120"
"In post","2021","Human Resources","Medicines and Healthcare Products Regulatory Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Medicines and Healthcare Products Regulatory Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Medicines and Healthcare Products Regulatory Agency","Human Resources","G6/G7","10","10","[c]","[c]"
"In post","2021","Human Resources","Medicines and Healthcare Products Regulatory Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Medicines and Healthcare Products Regulatory Agency","Human Resources","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Human Resources","Met Office","Human Resources","EO","10","10","[c]","[c]"
"In post","2021","Human Resources","Met Office","Human Resources","G6/G7","20","20","50170","47960"
"In post","2021","Human Resources","Met Office","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Met Office","Human Resources","SEO/HEO","40","40","34420","32820"
"In post","2021","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","AA/AO","755","690","21280","21130"
"In post","2021","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","EO","290","275","27330","26670"
"In post","2021","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","G6/G7","130","125","60330","59730"
"In post","2021","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","SCS level","20","20","85990","76650"
"In post","2021","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","SEO/HEO","470","455","37340","35330"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","AA/AO","10","10","23420","23070"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","G6/G7","20","20","57100","55840"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","SEO/HEO","25","25","34440","33210"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","AA/AO","20","20","21900","21710"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","EO","55","50","26480","26560"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","G6/G7","125","120","61900","61260"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","SCS level","15","15","90310","85430"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","SEO/HEO","435","420","37200","35190"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Operational Delivery","EO","15","15","25560","26410"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Operational Delivery","G6/G7","10","10","58110","57550"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Operational Delivery","SEO/HEO","45","45","33250","31500"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice (excl. agencies)","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","National Crime Agency","Human Resources","AA/AO","25","25","21990","20800"
"In post","2021","Human Resources","National Crime Agency","Human Resources","EO","35","30","30710","28840"
"In post","2021","Human Resources","National Crime Agency","Human Resources","G6/G7","20","20","61670","59160"
"In post","2021","Human Resources","National Crime Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","National Crime Agency","Human Resources","SEO/HEO","100","95","41830","40600"
"In post","2021","Human Resources","National Savings and Investments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","National Savings and Investments","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","National Savings and Investments","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland Office","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland Office","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","AA/AO","10","10","21130","21160"
"In post","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","EO","10","10","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","G6/G7","10","10","63630","59810"
"In post","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","SEO/HEO","25","25","36150","35920"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Human Resources","G6/G7","10","10","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Planning Inspectorate","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2021","Human Resources","Planning Inspectorate","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Planning Inspectorate","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Planning Inspectorate","Human Resources","SEO/HEO","10","10","38850","40720"
"In post","2021","Human Resources","Public Health England","Human Resources","AA/AO","15","15","22520","22100"
"In post","2021","Human Resources","Public Health England","Human Resources","EO","15","15","27140","27150"
"In post","2021","Human Resources","Public Health England","Human Resources","G6/G7","40","40","58270","59910"
"In post","2021","Human Resources","Public Health England","Human Resources","SCS level","10","10","91050","87100"
"In post","2021","Human Resources","Public Health England","Human Resources","SEO/HEO","45","45","36320","36330"
"In post","2021","Human Resources","Queen Elizabeth II Centre","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Queen Elizabeth II Centre","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Registers of Scotland","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Registers of Scotland","Human Resources","EO","10","10","29890","30080"
"In post","2021","Human Resources","Registers of Scotland","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Registers of Scotland","Human Resources","SEO/HEO","25","25","39350","36780"
"In post","2021","Human Resources","Scotland Office (incl. Office of the Advocate General for Scotland)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland Office (incl. Office of the Advocate General for Scotland)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland Office (incl. Office of the Advocate General for Scotland)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Courts and Tribunals Service","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2021","Human Resources","Scottish Courts and Tribunals Service","Human Resources","EO","10","5","[c]","[c]"
"In post","2021","Human Resources","Scottish Courts and Tribunals Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Courts and Tribunals Service","Human Resources","SEO/HEO","15","15","38590","35230"
"In post","2021","Human Resources","Scottish Prison Service","Human Resources","AA/AO","40","35","22970","22430"
"In post","2021","Human Resources","Scottish Prison Service","Human Resources","EO","25","25","31850","33650"
"In post","2021","Human Resources","Scottish Prison Service","Human Resources","G6/G7","15","15","54810","53110"
"In post","2021","Human Resources","Scottish Prison Service","Human Resources","SEO/HEO","20","20","41530","39500"
"In post","2021","Human Resources","Scottish Prison Service","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Prison Service","Other","SEO/HEO","20","20","37930","39500"
"In post","2021","Human Resources","Serious Fraud Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Serious Fraud Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Serious Fraud Office","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Serious Fraud Office","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Submarine Delivery Agency","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","Human Resources","Submarine Delivery Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Submarine Delivery Agency","Human Resources","Unknown","30","30","41760","40450"
"In post","2021","Human Resources","Submarine Delivery Agency","Operational Delivery","Unknown","145","140","33370","28650"
"In post","2021","Human Resources","Submarine Delivery Agency","Policy","Unknown","5","5","[c]","[c]"
"In post","2021","Human Resources","Submarine Delivery Agency","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Submarine Delivery Agency","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Submarine Delivery Agency","Security","Unknown","20","20","37550","33520"
"In post","2021","Human Resources","Submarine Delivery Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","The National Archives","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","The National Archives","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","The National Archives","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","The National Archives","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Human Resources","SEO/HEO","15","15","40970","41660"
"In post","2021","Human Resources","UK Hydrographic Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Hydrographic Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Hydrographic Office","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Hydrographic Office","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Hydrographic Office","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","UK Intellectual Property Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Intellectual Property Office","Human Resources","EO","15","10","24550","23320"
"In post","2021","Human Resources","UK Intellectual Property Office","Human Resources","G6/G7","10","10","58430","56220"
"In post","2021","Human Resources","UK Intellectual Property Office","Human Resources","SEO/HEO","20","20","36390","39120"
"In post","2021","Human Resources","UK Space Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Space Agency","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Space Agency","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Space Agency","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Human Resources","EO","20","20","24060","23050"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Human Resources","G6/G7","35","35","53100","50090"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Human Resources","SEO/HEO","90","85","32520","30500"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Policy","EO","10","10","24620","24780"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Policy","G6/G7","10","10","55240","52100"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Policy","SEO/HEO","30","30","34620","36030"
"In post","2021","Human Resources","Valuation Office Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Valuation Office Agency","Human Resources","EO","15","15","26530","25860"
"In post","2021","Human Resources","Valuation Office Agency","Human Resources","G6/G7","15","15","60970","62020"
"In post","2021","Human Resources","Valuation Office Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Valuation Office Agency","Human Resources","SEO/HEO","50","45","37130","35100"
