"Status","Year","Age","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs (excl. agencies)","Outside London","50","50","20240","20140"
"In post","2021","16-19","Digital, Data & Technology","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Defence Equipment and Support","Outside London","20","20","19160","19040"
"In post","2021","16-19","Finance","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","Outside London","10","5","20140","20140"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Outside London","20","20","21750","21950"
"In post","2021","16-19","Legal","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Outside London","10","5","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","Outside London","15","15","17150","16990"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
