"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Bedford","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Birmingham","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","AA/AO","Male","[c]","[c]","[c]","[c]"
