"Status","Year","Age","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Debt","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Outside London","Unknown","35","35","20140","20140"
"In post","2021","16-19","Digital, Data & Technology","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
