"Status","Year","Age","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","AA/AO","25","25","21770","21950"
"In post","2021","16-19","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","20","20","20090","19850"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","15","15","26030","27680"
"In post","2021","16-19","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","10","10","25320","25000"
"In post","2021","16-19","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","20","20","24100","25130"
"In post","2021","16-19","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","AA/AO","40","30","19510","18060"
"In post","2021","16-19","Department for Transport","EO","10","10","23810","23970"
"In post","2021","16-19","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","AA/AO","160","160","21220","21010"
"In post","2021","16-19","Department for Work and Pensions","EO","40","40","28290","27570"
"In post","2021","16-19","Department of Health and Social Care","AA/AO","25","20","20530","19630"
"In post","2021","16-19","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","15","15","20920","21600"
"In post","2021","16-19","HM Land Registry","AA/AO","15","15","21500","22350"
"In post","2021","16-19","HM Revenue and Customs","AA/AO","225","210","20250","20140"
"In post","2021","16-19","HM Revenue and Customs","EO","20","20","25410","25560"
