"Status","Year","Organisation","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Outside London","Female","Heterosexual / straight","50","45","32060","29190"
"In post","2021","Accountant in Bankruptcy","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Male","Heterosexual / straight","30","30","33800","29190"
"In post","2021","Accountant in Bankruptcy","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Female","Heterosexual / straight","75","70","40270","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Male","Heterosexual / straight","55","55","46160","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Female","Heterosexual / straight","300","270","32140","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Female","Undeclared","55","50","30800","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Female","Unknown","130","125","26240","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Male","Heterosexual / straight","200","185","33550","31430"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Male","Undeclared","40","40","35540","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Male","Unknown","90","85","26590","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Female","Heterosexual / straight","35","35","35120","31690"
"In post","2021","Animal and Plant Health Agency","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Male","Heterosexual / straight","35","35","36570","31800"
"In post","2021","Animal and Plant Health Agency","London","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","Female","Heterosexual / straight","1140","1055","29130","25320"
"In post","2021","Animal and Plant Health Agency","Outside London","Female","LGBO","65","65","26860","24920"
"In post","2021","Animal and Plant Health Agency","Outside London","Female","Undeclared","170","160","31400","29180"
"In post","2021","Animal and Plant Health Agency","Outside London","Female","Unknown","180","165","29580","25520"
"In post","2021","Animal and Plant Health Agency","Outside London","Male","Heterosexual / straight","675","660","32140","29180"
"In post","2021","Animal and Plant Health Agency","Outside London","Male","LGBO","60","60","27220","25100"
"In post","2021","Animal and Plant Health Agency","Outside London","Male","Undeclared","145","140","34270","31660"
"In post","2021","Animal and Plant Health Agency","Outside London","Male","Unknown","140","130","30890","26520"
"In post","2021","Animal and Plant Health Agency","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Attorney General's Office","London","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Female","Heterosexual / straight","1780","1730","49860","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Female","LGBO","135","130","44070","37300"
"In post","2021","Cabinet Office (excl. agencies)","London","Female","Undeclared","185","180","47910","41910"
"In post","2021","Cabinet Office (excl. agencies)","London","Female","Unknown","1350","1330","43610","32000"
"In post","2021","Cabinet Office (excl. agencies)","London","Male","Heterosexual / straight","1440","1430","54600","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Male","LGBO","230","230","49130","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Male","Undeclared","220","220","53310","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Male","Unknown","1160","1155","51270","36400"
"In post","2021","Cabinet Office (excl. agencies)","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Female","Heterosexual / straight","615","570","35220","32960"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Female","LGBO","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Female","Undeclared","40","35","33440","33300"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Female","Unknown","585","565","43920","33300"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Male","Heterosexual / straight","440","430","38440","33300"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Male","LGBO","35","35","33770","32000"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Male","Undeclared","45","45","35620","33300"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Male","Unknown","565","560","47090","40580"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
