"Status","Year","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","30","25","27060","22230"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","630","580","34790","34270"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","45","45","29450","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","130","115","35210","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","255","245","28490","24250"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","1880","1780","30450","27960"
"In post","2021","Animal and Plant Health Agency","LGBO","130","130","27550","25010"
"In post","2021","Animal and Plant Health Agency","Undeclared","340","320","33230","30230"
"In post","2021","Animal and Plant Health Agency","Unknown","330","300","30410","26520"
"In post","2021","Attorney General's Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","30","25","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","4415","4295","47980","40600"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","435","430","44900","40600"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","505","495","47740","40600"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","4100","4055","45320","33250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","225","215","33820","29510"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","15","15","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","30","30","35290","34330"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","340","325","34520","29750"
"In post","2021","Charity Commission","Heterosexual / straight","230","220","34440","29160"
"In post","2021","Charity Commission","LGBO","15","15","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","15","15","[c]","[c]"
"In post","2021","Charity Commission","Unknown","175","165","35400","30000"
"In post","2021","Companies House","Heterosexual / straight","715","665","31890","27460"
"In post","2021","Companies House","LGBO","35","35","31050","26460"
"In post","2021","Companies House","Undeclared","90","80","30640","25100"
"In post","2021","Companies House","Unknown","260","235","27740","22490"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","685","665","59810","56360"
"In post","2021","Competition and Markets Authority","LGBO","55","55","57440","55860"
"In post","2021","Competition and Markets Authority","Undeclared","55","55","61350","59020"
"In post","2021","Competition and Markets Authority","Unknown","45","45","74880","72430"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","190","175","26650","22710"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","15","15","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","25","25","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","70","65","25090","22570"
"In post","2021","Crown Commercial Service","Heterosexual / straight","560","545","38700","34800"
"In post","2021","Crown Commercial Service","LGBO","30","30","36030","34800"
"In post","2021","Crown Commercial Service","Undeclared","25","25","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","170","165","34790","31000"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","1735","1610","35150","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","75","75","33390","27810"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","100","95","39430","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","110","100","42960","40600"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","4780","4475","40960","38000"
"In post","2021","Crown Prosecution Service","LGBO","255","245","40640","30370"
"In post","2021","Crown Prosecution Service","Undeclared","195","190","41080","39750"
"In post","2021","Crown Prosecution Service","Unknown","1515","1365","42810","39230"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","15","15","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","115","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","135","130","29070","27460"
"In post","2021","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","295","280","28400","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","10","10","[c]","[c]"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","8465","8185","36490","33730"
"In post","2021","Defence Equipment and Support","LGBO","275","275","32130","29500"
"In post","2021","Defence Equipment and Support","Undeclared","1245","1195","38620","37580"
"In post","2021","Defence Equipment and Support","Unknown","710","685","32880","30420"
"In post","2021","Defence Science and Technology Laboratory","Heterosexual / straight","3075","2950","40260","37360"
"In post","2021","Defence Science and Technology Laboratory","LGBO","155","150","35140","33240"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","315","305","42690","46080"
"In post","2021","Defence Science and Technology Laboratory","Unknown","840","810","41140","38060"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","3780","3690","49480","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","455","455","47790","45370"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","505","495","50440","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","585","575","44620","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1250","1225","49660","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","185","180","47100","44850"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","110","110","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","235","230","48270","48580"
"In post","2021","Department for Education (excl. agencies)","Heterosexual / straight","4000","3845","44370","40510"
"In post","2021","Department for Education (excl. agencies)","LGBO","330","325","43420","38990"
"In post","2021","Department for Education (excl. agencies)","Undeclared","410","400","44510","40940"
"In post","2021","Department for Education (excl. agencies)","Unknown","960","925","44680","40510"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","3780","3645","42540","37910"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","300","290","42920","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","380","365","40810","37410"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","950","910","42700","38750"
"In post","2021","Department for International Trade","Heterosexual / straight","1540","1520","46460","41180"
"In post","2021","Department for International Trade","LGBO","185","185","47150","42160"
