"Status","Year","Function_of_post","Organisation","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Westminster","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Westminster","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Westminster","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","AA/AO","10","10","20740","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","EO","30","25","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","G6/G7","20","20","53690","49030"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","SEO/HEO","55","55","32360","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","AA/AO","30","30","20750","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","EO","55","50","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","G6/G7","70","65","51310","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","SEO/HEO","200","185","33050","30660"
"In post","2021","Analysis","Charity Commission","Sefton","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","G6/G7","75","75","65410","61530"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","SEO/HEO","40","40","37870","34720"
"In post","2021","Analysis","Crown Prosecution Service","Flintshire and Wrexham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Liverpool","G6/G7","[c]","[c]","[c]","[c]"
