"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Companies House","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","AO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","AA","Male","15","15","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","EO","Female","25","25","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","EO","Male","85","85","18020","17780"
"In post","2021","16-19","Defence Equipment and Support","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA","Male","10","10","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","AO","Female","95","95","21210","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","AO","Male","65","65","21260","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","EO","Female","25","25","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","AA","Female","15","10","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","AA","Male","10","5","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","AO","Female","10","10","[c]","[c]"
