"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
