"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","Female","100","85","23030","22450"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","Male","45","45","24610","23520"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","Female","140","125","28490","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","Male","95","95","28620","27980"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SEO/HEO","Female","65","60","38230","37640"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SEO/HEO","Male","50","50","37790","37530"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","Female","25","25","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","105","90","22770","22380"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","90","90","24390","22220"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","155","140","28660","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","80","75","28820","28700"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
