"Status","Year","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","155","150","39160","36890"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","15","10","[c]","[c]"
"In post","2021","Commercial","Cheshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Heterosexual / straight","55","55","45420","43130"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Devon","Heterosexual / straight","35","30","42480","39100"
"In post","2021","Commercial","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Unknown","185","180","42930","40040"
"In post","2021","Commercial","Dorset and Somerset","Heterosexual / straight","50","50","42850","42510"
"In post","2021","Commercial","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Undeclared","10","10","[c]","[c]"
