"Status","Year","Profession_of_post","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AO","15","15","22220","22440"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","25","25","26120","26350"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G7","20","20","56990","56170"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","50","45","33700","33950"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO","65","65","42690","42000"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","SEO","10","10","39480","36490"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","Unknown","15","15","39570","38860"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","EO","10","10","24430","25770"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","G7","20","15","54470","53430"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","SEO","25","25","42240","41380"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Outside London","EO","15","10","25370","25630"
"In post","2021","Commercial","Devon","Outside London","G6","25","25","61200","60490"
"In post","2021","Commercial","Devon","Outside London","G7","65","65","48390","47960"
"In post","2021","Commercial","Devon","Outside London","HEO","45","40","32690","32730"
"In post","2021","Commercial","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Outside London","SEO","60","55","39620","38550"
"In post","2021","Commercial","Devon","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Outside London","EO","10","10","25340","25950"
"In post","2021","Commercial","Dorset and Somerset","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Outside London","HEO","20","20","32550","33290"
"In post","2021","Commercial","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Outside London","SEO","20","20","43880","42620"
"In post","2021","Commercial","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","EO","25","25","25550","26670"
"In post","2021","Commercial","East Anglia","Outside London","G6","10","5","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","G7","20","20","52140","48000"
"In post","2021","Commercial","East Anglia","Outside London","HEO","65","65","31470","31360"
"In post","2021","Commercial","East Anglia","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","SEO","95","90","40870","40320"
"In post","2021","Commercial","East Anglia","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Outside London","EO","35","35","26170","26810"
"In post","2021","Commercial","East Wales","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Outside London","G7","25","25","51440","49100"
"In post","2021","Commercial","East Wales","Outside London","HEO","45","45","30620","29540"
"In post","2021","Commercial","East Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Outside London","SEO","40","40","39970","37360"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","AA","20","15","20350","20810"
"In post","2021","Commercial","Eastern Scotland","Outside London","AO","25","20","24890","25870"
"In post","2021","Commercial","Eastern Scotland","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","HEO","15","15","37110","38140"
"In post","2021","Commercial","Eastern Scotland","Outside London","SEO","10","10","45400","45220"
"In post","2021","Commercial","Eastern Scotland","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Essex","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AO","25","25","21010","20920"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","195","185","24040","23520"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6","60","60","70160","69530"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G7","175","170","53520","54110"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","HEO","425","405","31780","33000"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SCS level","20","20","105780","101880"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO","385","365","40710","40720"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","135","135","38200","35230"
"In post","2021","Commercial","Greater Manchester","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Outside London","EO","30","30","26080","25620"
"In post","2021","Commercial","Greater Manchester","Outside London","G6","15","15","69350","64670"
"In post","2021","Commercial","Greater Manchester","Outside London","G7","30","30","53430","50520"
"In post","2021","Commercial","Greater Manchester","Outside London","HEO","45","40","31320","31000"
"In post","2021","Commercial","Greater Manchester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Outside London","SEO","90","85","39940","38630"
"In post","2021","Commercial","Greater Manchester","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","EO","50","50","26490","26670"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","HEO","65","60","33330","33300"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","SEO","75","75","41500","42080"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","HEO","[c]","[c]","[c]","[c]"
