"Status","Year","Ethnicity","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","440","410","30870","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Undeclared","35","35","28030","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Unknown","60","50","32350","28920"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","490","460","30790","28550"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","35","30","29390","28200"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","60","50","29930","27570"
"In post","2021","Asian","Cheshire","Outside London","Heterosexual / straight","45","45","28710","27570"
"In post","2021","Asian","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","515","480","30150","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Unknown","90","75","28470","27130"
"In post","2021","Asian","Devon","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","Heterosexual / straight","320","275","26620","23660"
"In post","2021","Asian","East Anglia","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","Undeclared","30","25","[c]","[c]"
