"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Outside London","80","70","27780","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Outside London","340","315","33550","30090"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Outside London","115","105","25330","25260"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","300","275","30340","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Outside London","90","85","30820","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","125","115","29690","27290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Outside London","85","80","32960","27570"
"In post","2021","Asian","Cheshire","Cheshire East","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Cheshire","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Warrington","Outside London","40","35","30140","27570"
"In post","2021","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","East Cumbria","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Cumbria","West Cumbria","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Derby","Outside London","105","95","25500","22570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Nottingham","Outside London","485","450","30720","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Devon","Devon CC","Outside London","35","30","34660","31610"
"In post","2021","Asian","Devon","Plymouth","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Devon","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Bournemouth and Poole","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Dorset CC","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Somerset","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Cambridgeshire CC","Outside London","80","80","35750","29510"
"In post","2021","Asian","East Anglia","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Norwich and East Norfolk","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","East Anglia","Peterborough","Outside London","225","185","23580","21430"
