"Status","Year","Age","Disability","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","London","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","Outside London","35","35","21340","21010"
"In post","2021","16-19","Declared non-disabled","East of England","Outside London","35","30","23380","22430"
"In post","2021","16-19","Declared non-disabled","London","London","95","90","25500","25170"
"In post","2021","16-19","Declared non-disabled","North East (England)","Outside London","50","50","21030","21010"
"In post","2021","16-19","Declared non-disabled","North West (England)","Outside London","80","75","21080","21010"
"In post","2021","16-19","Declared non-disabled","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland","Outside London","85","85","21040","21010"
"In post","2021","16-19","Declared non-disabled","South East (England)","Outside London","65","65","22150","21590"
"In post","2021","16-19","Declared non-disabled","South West (England)","Outside London","105","105","19340","19040"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Wales","Outside London","65","60","20190","20320"
"In post","2021","16-19","Declared non-disabled","West Midlands (England)","Outside London","35","35","22100","21010"
"In post","2021","16-19","Declared non-disabled","Yorkshire and The Humber","Outside London","40","40","21910","21010"
"In post","2021","16-19","Undeclared","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","London","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","Outside London","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","London","London","40","40","24560","24490"
"In post","2021","16-19","Unknown","North East (England)","Outside London","40","40","20910","20140"
"In post","2021","16-19","Unknown","North West (England)","Outside London","55","55","20970","20140"
"In post","2021","16-19","Unknown","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","Outside London","85","80","20310","20140"
"In post","2021","16-19","Unknown","South East (England)","Outside London","55","55","22040","21430"
"In post","2021","16-19","Unknown","South West (England)","Outside London","60","60","17970","16780"
"In post","2021","16-19","Unknown","Unknown","Unknown","40","40","18910","15940"
"In post","2021","16-19","Unknown","Wales","Outside London","60","50","20210","20140"
"In post","2021","16-19","Unknown","West Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","Outside London","50","50","20600","20140"
"In post","2021","20-29","Declared disabled","East Midlands (England)","Outside London","210","205","24750","24440"
"In post","2021","20-29","Declared disabled","East of England","Outside London","230","225","26030","25690"
