"Status","Year","Age","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Department for Education","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Department for Transport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Outside London","Unknown","25","20","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Outside London","Heterosexual / straight","145","140","22200","21010"
"In post","2021","16-19","Department for Work and Pensions","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
