"Status","Year","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","30","30","21910","21950"
"In post","2021","16-19","Cabinet Office","15","15","24160","24170"
"In post","2021","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","35","35","22530","20880"
"In post","2021","16-19","Department for Education","15","15","25590","25000"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","25","25","23500","23400"
"In post","2021","16-19","Department for International Trade","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","55","45","20770","20900"
"In post","2021","16-19","Department for Work and Pensions","200","200","22650","21010"
"In post","2021","16-19","Department of Health and Social Care","30","25","21640","20700"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","20","20","22460","21600"
"In post","2021","16-19","HM Land Registry","15","15","21500","22350"
"In post","2021","16-19","HM Revenue and Customs","245","230","20670","20140"
"In post","2021","16-19","HM Treasury","25","25","23990","24300"
"In post","2021","16-19","Home Office","80","70","22340","21430"
"In post","2021","16-19","Ministry of Defence","250","250","18760","17780"
"In post","2021","16-19","Ministry of Justice","145","145","21800","20600"
"In post","2021","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","100","100","21190","21150"
"In post","2021","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","20","15","20590","19130"
"In post","2021","16-19","Welsh Government","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","1320","1305","30180","26970"
"In post","2021","20-29","Cabinet Office","3400","3395","33960","29250"
"In post","2021","20-29","Chancellor's other departments","80","80","35780","34030"
"In post","2021","20-29","Charity Commission","50","45","27060","24440"
"In post","2021","20-29","Competition and Markets Authority","150","150","38650","33610"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","2910","2895","36090","33570"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","675","675","41060","34840"
"In post","2021","20-29","Department for Education","1610","1600","35480","32940"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","1940","1920","30590","29180"
"In post","2021","20-29","Department for International Trade","950","945","37340","33000"
"In post","2021","20-29","Department for Transport","2225","2180","30280","27680"
"In post","2021","20-29","Department for Work and Pensions","10545","10355","26690","27570"
"In post","2021","20-29","Department of Health and Social Care","2685","2610","32710","31390"
"In post","2021","20-29","ESTYN","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","110","110","32770","32350"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","1485","1480","34620","33930"
"In post","2021","20-29","HM Land Registry","1110","1090","25370","22350"
"In post","2021","20-29","HM Revenue and Customs","10330","10105","26860","25560"
"In post","2021","20-29","HM Treasury","1045","1040","38510","32960"
"In post","2021","20-29","Home Office","5285","5150","28310","24890"
"In post","2021","20-29","Ministry of Defence","7590","7535","28520","27540"
