"Status","Year","Disability","Function_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cumbria","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Derbyshire and Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Derbyshire and Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Devon","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Devon","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Devon","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset and Somerset","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset and Somerset","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset and Somerset","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset and Somerset","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset and Somerset","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset and Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Anglia","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Anglia","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Anglia","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Anglia","HEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Anglia","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Wales","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Wales","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Wales","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Wales","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Wales","SEO","35","30","37530","37020"
"In post","2021","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Eastern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Eastern Scotland","HEO","[c]","[c]","[c]","[c]"
