"Status","Year","Function_of_post","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","EO","10","10","28300","28230"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","G6/G7","100","90","88000","83030"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","SEO/HEO","50","45","41770","41530"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","G6/G7","[c]","[c]","[c]","[c]"
