"Status","Year","Age","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Outside London","Female","25","25","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Outside London","Male","85","85","18030","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","5","5","[c]","[c]"
