"Status","Year","Age","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","Unknown","20","15","[c]","[c]"
"In post","2021","16-19","Department for Transport","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Other","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Heterosexual / straight","150","150","22630","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
