"Status","Year","Disability","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Southern Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East Anglia","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Greater Manchester","20","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Inner London - West","15","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","West Central Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Cumbria","20","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Devon","30","30","27970","24440"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","East Anglia","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","East Wales","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","25","25","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Inner London - West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Lancashire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North Yorkshire","30","25","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Southern Scotland","15","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Surrey, East and West Sussex","90","85","31820","28550"
"In post","2021","Declared disabled","Animal and Plant Health Agency","West Wales and The Valleys","25","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","15","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Anglia","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Greater Manchester","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - East","95","90","50900","54700"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - West","400","385","47370","42010"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Merseyside","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","North Yorkshire","35","30","28790","26930"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Northumberland and Tyne and Wear","60","55","28220","23850"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
