"Status","Year","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Heterosexual / straight","1320","1210","27270","25560"
"In post","2021","Asian","East Midlands (England)","LGBO","30","30","25800","26160"
"In post","2021","Asian","East Midlands (England)","Undeclared","90","80","26450","22300"
"In post","2021","Asian","East Midlands (England)","Unknown","255","215","26150","25560"
"In post","2021","Asian","East of England","Heterosexual / straight","935","850","30070","27570"
"In post","2021","Asian","East of England","LGBO","20","15","[c]","[c]"
"In post","2021","Asian","East of England","Undeclared","80","70","29140","26260"
"In post","2021","Asian","East of England","Unknown","90","80","35130","28530"
"In post","2021","Asian","London","Heterosexual / straight","11160","10620","37240","32090"
"In post","2021","Asian","London","LGBO","285","270","38530","32870"
"In post","2021","Asian","London","Undeclared","830","760","34250","30890"
"In post","2021","Asian","London","Unknown","1285","1155","36740","31880"
"In post","2021","Asian","North East (England)","Heterosexual / straight","310","285","28060","25560"
"In post","2021","Asian","North East (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","North East (England)","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","North East (England)","Unknown","45","40","27860","21010"
"In post","2021","Asian","North West (England)","Heterosexual / straight","2080","1935","28020","25560"
"In post","2021","Asian","North West (England)","LGBO","50","45","26550","23160"
"In post","2021","Asian","North West (England)","Undeclared","125","110","25710","21430"
"In post","2021","Asian","North West (England)","Unknown","315","280","26390","23730"
"In post","2021","Asian","Northern Ireland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Heterosexual / straight","130","130","45910","41090"
"In post","2021","Asian","Overseas","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Scotland","Heterosexual / straight","420","390","32500","27570"
"In post","2021","Asian","Scotland","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Scotland","Undeclared","25","20","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","55","50","28720","25560"
"In post","2021","Asian","South East (England)","Heterosexual / straight","1150","1070","30290","27850"
"In post","2021","Asian","South East (England)","LGBO","30","30","30830","26020"
"In post","2021","Asian","South East (England)","Undeclared","75","65","29660","27570"
"In post","2021","Asian","South East (England)","Unknown","125","105","29880","27570"
"In post","2021","Asian","South West (England)","Heterosexual / straight","650","620","34380","31690"
"In post","2021","Asian","South West (England)","LGBO","25","25","[c]","[c]"
"In post","2021","Asian","South West (England)","Undeclared","45","45","36160","30400"
"In post","2021","Asian","South West (England)","Unknown","60","50","32670","28690"
"In post","2021","Asian","Unknown","Heterosexual / straight","130","120","30270","27570"
"In post","2021","Asian","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","Wales","Heterosexual / straight","365","350","30420","25560"
"In post","2021","Asian","Wales","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Wales","Undeclared","20","15","[c]","[c]"
"In post","2021","Asian","Wales","Unknown","35","30","31650","26510"
"In post","2021","Asian","West Midlands (England)","Heterosexual / straight","3235","3040","27950","26130"
"In post","2021","Asian","West Midlands (England)","LGBO","65","60","27410","25190"
"In post","2021","Asian","West Midlands (England)","Undeclared","200","180","25650","25400"
"In post","2021","Asian","West Midlands (England)","Unknown","570","505","27930","26760"
"In post","2021","Asian","Yorkshire and The Humber","Heterosexual / straight","1835","1710","28320","26780"
"In post","2021","Asian","Yorkshire and The Humber","LGBO","35","35","26320","21440"
"In post","2021","Asian","Yorkshire and The Humber","Undeclared","120","110","26050","24890"
"In post","2021","Asian","Yorkshire and The Humber","Unknown","320","275","27490","25560"
"In post","2021","Black","East Midlands (England)","Heterosexual / straight","425","395","26960","25560"
"In post","2021","Black","East Midlands (England)","LGBO","15","15","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Undeclared","25","20","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Unknown","50","45","27790","27570"
"In post","2021","Black","East of England","Heterosexual / straight","500","480","30510","29290"
"In post","2021","Black","East of England","LGBO","20","20","[c]","[c]"
"In post","2021","Black","East of England","Undeclared","30","25","[c]","[c]"
"In post","2021","Black","East of England","Unknown","50","45","34000","29290"
"In post","2021","Black","London","Heterosexual / straight","8195","7960","34640","31060"
"In post","2021","Black","London","LGBO","200","195","37390","31060"
"In post","2021","Black","London","Undeclared","530","500","33890","31060"
"In post","2021","Black","London","Unknown","1040","965","33670","31070"
"In post","2021","Black","North East (England)","Heterosexual / straight","120","115","27390","25560"
"In post","2021","Black","North East (England)","LGBO","5","5","[c]","[c]"
"In post","2021","Black","North East (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Black","North East (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Black","North West (England)","Heterosexual / straight","600","570","28840","27570"
"In post","2021","Black","North West (England)","LGBO","15","15","[c]","[c]"
"In post","2021","Black","North West (England)","Undeclared","35","30","30530","27570"
"In post","2021","Black","North West (England)","Unknown","70","65","25780","23610"
"In post","2021","Black","Northern Ireland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Black","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Heterosexual / straight","60","60","42250","37500"
"In post","2021","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Heterosexual / straight","205","200","31650","27570"
"In post","2021","Black","Scotland","LGBO","10","10","[c]","[c]"
"In post","2021","Black","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Unknown","15","15","[c]","[c]"
