"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","Heterosexual / straight","2275","2070","22110","21010"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","LGBO","155","150","22840","21010"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","Undeclared","305","265","21880","21010"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","Unknown","1060","955","22040","21010"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","2195","2020","26710","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","EO","LGBO","150","145","26560","27130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Undeclared","335","300","27010","27130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Unknown","870","800","26740","27130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","Heterosexual / straight","805","775","57310","53150"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","LGBO","45","45","58160","52580"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","Undeclared","100","95","57040","53430"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","Unknown","185","175","56780","53320"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Heterosexual / straight","65","60","89330","83370"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","Heterosexual / straight","2150","2035","35680","33840"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","LGBO","105","105","35230","32250"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","Undeclared","330","310","36480","34290"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","Unknown","645","615","34450","31990"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","390","355","30040","30210"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Undeclared","50","45","31620","31420"
