"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA","Female","10","10","[c]","[c]"
"In post","2021","Commercial","AA","Male","20","15","[c]","[c]"
"In post","2021","Commercial","AO","Female","150","140","22540","21710"
"In post","2021","Commercial","AO","Male","90","85","22690","21680"
"In post","2021","Commercial","EO","Female","420","395","25870","26400"
"In post","2021","Commercial","EO","Male","285","285","26120","26360"
"In post","2021","Commercial","G6","Female","120","120","70600","69530"
"In post","2021","Commercial","G6","Male","180","175","69770","67390"
"In post","2021","Commercial","G7","Female","345","330","53500","53360"
"In post","2021","Commercial","G7","Male","370","365","55110","53580"
"In post","2021","Commercial","HEO","Female","745","705","32080","32730"
"In post","2021","Commercial","HEO","Male","550","545","32380","32730"
"In post","2021","Commercial","SCS level","Female","45","45","90010","82090"
"In post","2021","Commercial","SCS level","Male","55","55","89190","80900"
"In post","2021","Commercial","SEO","Female","905","865","40860","40580"
"In post","2021","Commercial","SEO","Male","845","830","42570","41340"
"In post","2021","Commercial","Unknown","Female","105","105","36870","33010"
"In post","2021","Commercial","Unknown","Male","110","110","40320","38240"
"In post","2021","Communications","AA","Female","10","10","[c]","[c]"
"In post","2021","Communications","AA","Male","5","5","[c]","[c]"
"In post","2021","Communications","AO","Female","125","115","22340","21590"
"In post","2021","Communications","AO","Male","100","100","22490","21590"
"In post","2021","Communications","EO","Female","370","350","27400","26970"
"In post","2021","Communications","EO","Male","265","260","27550","27270"
"In post","2021","Communications","G6","Female","140","135","67280","66420"
"In post","2021","Communications","G6","Male","100","100","68430","68720"
"In post","2021","Communications","G7","Female","420","395","54860","54540"
"In post","2021","Communications","G7","Male","280","280","54530","53840"
"In post","2021","Communications","HEO","Female","590","565","34110","33300"
"In post","2021","Communications","HEO","Male","435","430","34880","34190"
"In post","2021","Communications","SCS level","Female","65","65","83440","79580"
"In post","2021","Communications","SCS level","Male","50","50","91190","84670"
"In post","2021","Communications","SEO","Female","605","580","41530","40940"
"In post","2021","Communications","SEO","Male","395","390","41630","41500"
"In post","2021","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AO","Male","[c]","[c]","[c]","[c]"
