"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","London","AA/AO","Male","35","35","24490","24120"
"In post","2021","Analysis","London","EO","Female","120","115","28680","28330"
"In post","2021","Analysis","London","EO","Male","140","140","28900","28950"
"In post","2021","Analysis","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","G6/G7","Female","615","570","61430","59160"
"In post","2021","Analysis","London","G6/G7","Male","820","805","62750","59160"
"In post","2021","Analysis","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","SCS level","Female","50","45","91060","81560"
"In post","2021","Analysis","London","SCS level","Male","65","65","92020","82530"
"In post","2021","Analysis","London","SEO/HEO","Female","670","650","37810","36160"
"In post","2021","Analysis","London","SEO/HEO","Male","890","885","37980","36160"
"In post","2021","Analysis","London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AA/AO","Female","80","70","20340","21020"
"In post","2021","Analysis","Outside London","AA/AO","Male","65","60","20230","20140"
"In post","2021","Analysis","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","EO","Female","245","220","25060","24920"
"In post","2021","Analysis","Outside London","EO","Male","220","215","25320","25010"
"In post","2021","Analysis","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","G6/G7","Female","395","365","52370","50090"
"In post","2021","Analysis","Outside London","G6/G7","Male","575","560","53160","51460"
"In post","2021","Analysis","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Outside London","SEO/HEO","Female","1030","965","34400","34460"
"In post","2021","Analysis","Outside London","SEO/HEO","Male","1080","1060","34310","33840"
"In post","2021","Analysis","Outside London","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
