"Status","Year","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","AA","Female","875","775","22170","22210"
"In post","2021","London","AA","Male","900","865","22230","22210"
"In post","2021","London","AO","Female","6310","5675","25210","25110"
"In post","2021","London","AO","Male","4625","4500","27290","25630"
"In post","2021","London","EO","Female","12670","11825","29880","30110"
"In post","2021","London","EO","Male","8630","8370","30140","30110"
"In post","2021","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","G6","Female","4050","3805","68900","67610"
"In post","2021","London","G6","Male","4135","4055","70120","68730"
"In post","2021","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","G7","Female","9935","9465","56290","54780"
"In post","2021","London","G7","Male","9510","9385","57190","56660"
"In post","2021","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","HEO","Female","10775","10460","34890","35020"
"In post","2021","London","HEO","Male","9355","9240","35520","35200"
"In post","2021","London","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","London","SCS level","Female","2260","2130","88420","80000"
"In post","2021","London","SCS level","Male","2435","2395","93270","83880"
"In post","2021","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO","Female","7180","6915","42520","41950"
"In post","2021","London","SEO","Male","6610","6525","43280","42200"
"In post","2021","London","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","London","Unknown","Female","1195","1145","33580","32090"
"In post","2021","London","Unknown","Male","450","445","34530","33950"
"In post","2021","Outside London","AA","Female","8380","7140","19580","19850"
"In post","2021","Outside London","AA","Male","8935","8475","19900","20060"
"In post","2021","Outside London","AO","Female","63590","54190","21680","21010"
"In post","2021","Outside London","AO","Male","46750","44705","23690","21430"
"In post","2021","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","EO","Female","60305","53760","27050","27570"
"In post","2021","Outside London","EO","Male","46410","44660","27630","27570"
"In post","2021","Outside London","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Outside London","G6","Female","3460","3305","67320","64850"
"In post","2021","Outside London","G6","Male","4380","4255","68400","66290"
"In post","2021","Outside London","G7","Female","12075","11350","53760","52580"
"In post","2021","Outside London","G7","Male","13335","13030","54350","52580"
"In post","2021","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","HEO","Female","28685","26765","32460","31990"
"In post","2021","Outside London","HEO","Male","26665","25905","33250","32170"
"In post","2021","Outside London","HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Outside London","SCS level","Female","1025","985","88360","82500"
"In post","2021","Outside London","SCS level","Male","1260","1235","91780","83750"
"In post","2021","Outside London","SEO","Female","18330","17220","40640","39370"
"In post","2021","Outside London","SEO","Male","19090","18590","41720","40580"
"In post","2021","Outside London","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Outside London","Unknown","Female","8865","8070","29830","28200"
"In post","2021","Outside London","Unknown","Male","3890","3775","35190","33210"
"In post","2021","Overseas","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Female","25","25","[c]","[c]"
"In post","2021","Overseas","AO","Male","25","25","[c]","[c]"
"In post","2021","Overseas","EO","Female","125","125","27990","27160"
"In post","2021","Overseas","EO","Male","150","150","28040","27370"
"In post","2021","Overseas","G6","Female","185","185","65950","65210"
"In post","2021","Overseas","G6","Male","270","270","66990","65470"
"In post","2021","Overseas","G7","Female","370","365","56230","55540"
"In post","2021","Overseas","G7","Male","515","510","56670","55290"
"In post","2021","Overseas","HEO","Female","450","450","37080","34450"
"In post","2021","Overseas","HEO","Male","625","620","36260","34260"
"In post","2021","Overseas","SCS level","Female","110","110","84260","75880"
"In post","2021","Overseas","SCS level","Male","175","175","87050","78410"
