"Status","Year","Region_ITL3","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barking & Dagenham and Havering","Unknown","Female","40","40","32150","27730"
"In post","2021","Barking & Dagenham and Havering","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Barnet","AA","Female","30","20","22190","22100"
"In post","2021","Barnet","AA","Male","20","15","[c]","[c]"
"In post","2021","Barnet","AO","Female","165","145","24310","23930"
"In post","2021","Barnet","AO","Male","60","55","23940","23690"
"In post","2021","Barnet","EO","Female","295","270","30080","31060"
"In post","2021","Barnet","EO","Male","145","140","29970","30780"
"In post","2021","Barnet","G6","Female","40","35","73420","72200"
"In post","2021","Barnet","G6","Male","30","30","[c]","[c]"
"In post","2021","Barnet","G7","Female","130","125","55480","54240"
"In post","2021","Barnet","G7","Male","115","115","57450","55130"
"In post","2021","Barnet","HEO","Female","185","180","34380","33330"
"In post","2021","Barnet","HEO","Male","90","85","35060","34730"
"In post","2021","Barnet","SCS level","Female","25","20","[c]","[c]"
"In post","2021","Barnet","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Barnet","SEO","Female","160","150","42330","41310"
"In post","2021","Barnet","SEO","Male","130","130","43810","44510"
"In post","2021","Barnet","Unknown","Female","35","35","31790","26810"
"In post","2021","Barnet","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA","Female","130","120","20320","20600"
"In post","2021","Barnsley, Doncaster and Rotherham","AA","Male","85","80","20770","20600"
"In post","2021","Barnsley, Doncaster and Rotherham","AO","Female","740","610","21890","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","AO","Male","555","530","25750","25790"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Female","610","510","27540","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Male","330","315","29720","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6","Male","5","5","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G7","Female","10","10","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G7","Male","10","10","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HEO","Female","125","115","32680","31990"
"In post","2021","Barnsley, Doncaster and Rotherham","HEO","Male","100","95","36040","36480"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO","Female","60","55","44480","43330"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO","Male","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Female","170","150","29240","28200"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Male","40","35","30680","31420"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Female","40","40","20170","20600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Male","90","90","19840","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Female","400","350","22950","21430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Male","225","220","25290","22500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","1295","1175","24680","25500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","1320","1300","24930","25750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","Female","135","130","68400","67150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","Male","355","345","68970","67810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","Female","460","435","52850","54130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","Male","975","960","53810","54540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","Female","1350","1255","31090","31970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","Male","1705","1680","31800","32270"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Female","40","40","98390","91000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Male","110","110","101170","93990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","Female","1100","1035","40500","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","Male","2225","2180","41580","41200"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","550","515","37110","33310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","980","965","43630","40430"
"In post","2021","Bedford","AA","Female","25","25","[c]","[c]"
"In post","2021","Bedford","AA","Male","20","20","[c]","[c]"
"In post","2021","Bedford","AO","Female","130","120","25240","23200"
"In post","2021","Bedford","AO","Male","115","110","28530","29920"
"In post","2021","Bedford","EO","Female","165","145","27420","27570"
"In post","2021","Bedford","EO","Male","120","115","28220","27570"
"In post","2021","Bedford","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G7","Female","10","10","[c]","[c]"
"In post","2021","Bedford","G7","Male","10","10","[c]","[c]"
"In post","2021","Bedford","HEO","Female","45","45","33190","32740"
"In post","2021","Bedford","HEO","Male","50","50","34290","33900"
"In post","2021","Bedford","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO","Female","25","25","[c]","[c]"
"In post","2021","Bedford","SEO","Male","35","35","44350","45100"
"In post","2021","Bedford","Unknown","Female","60","50","27250","23380"
"In post","2021","Bedford","Unknown","Male","15","10","[c]","[c]"
"In post","2021","Belfast","AA","Female","20","15","[c]","[c]"
"In post","2021","Belfast","AA","Male","40","40","19480","19560"
"In post","2021","Belfast","AO","Female","490","415","20810","20640"
"In post","2021","Belfast","AO","Male","455","430","20660","20140"
"In post","2021","Belfast","EO","Female","425","385","26340","25560"
"In post","2021","Belfast","EO","Male","395","385","26220","25560"
"In post","2021","Belfast","G6","Female","15","15","[c]","[c]"
"In post","2021","Belfast","G6","Male","20","20","[c]","[c]"
"In post","2021","Belfast","G7","Female","85","85","52030","52580"
"In post","2021","Belfast","G7","Male","90","90","53010","52580"
"In post","2021","Belfast","HEO","Female","260","245","32290","31810"
"In post","2021","Belfast","HEO","Male","270","265","32530","31810"
"In post","2021","Belfast","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Belfast","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Belfast","SEO","Female","130","125","38400","38630"
"In post","2021","Belfast","SEO","Male","105","100","38550","38630"
"In post","2021","Berkshire","AA","Female","40","35","19030","19170"
"In post","2021","Berkshire","AA","Male","60","55","18930","18800"
"In post","2021","Berkshire","AO","Female","310","275","23770","22150"
"In post","2021","Berkshire","AO","Male","595","590","30890","27680"
"In post","2021","Berkshire","EO","Female","455","420","29530","29290"
"In post","2021","Berkshire","EO","Male","340","335","32830","29290"
"In post","2021","Berkshire","G6","Female","25","25","[c]","[c]"
"In post","2021","Berkshire","G6","Male","40","40","67290","64670"
"In post","2021","Berkshire","G7","Female","105","95","55010","52580"
"In post","2021","Berkshire","G7","Male","120","120","53520","51970"
"In post","2021","Berkshire","HEO","Female","195","180","34940","34660"
"In post","2021","Berkshire","HEO","Male","210","205","36430","33300"
"In post","2021","Berkshire","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Berkshire","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Berkshire","SEO","Female","110","100","40330","39650"
"In post","2021","Berkshire","SEO","Male","140","135","42130","40440"
"In post","2021","Berkshire","Unknown","Female","120","115","29690","27920"
"In post","2021","Berkshire","Unknown","Male","70","70","35210","38000"
"In post","2021","Bexley and Greenwich","AA","Female","135","125","23890","23790"
"In post","2021","Bexley and Greenwich","AA","Male","85","85","23340","23790"
"In post","2021","Bexley and Greenwich","AO","Female","290","270","28000","27090"
"In post","2021","Bexley and Greenwich","AO","Male","370","360","31690","33180"
"In post","2021","Bexley and Greenwich","EO","Female","335","305","31310","31060"
"In post","2021","Bexley and Greenwich","EO","Male","215","205","33240","31880"
"In post","2021","Bexley and Greenwich","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","G7","Female","5","5","[c]","[c]"
"In post","2021","Bexley and Greenwich","G7","Male","5","5","[c]","[c]"
"In post","2021","Bexley and Greenwich","HEO","Female","45","45","36430","36650"
"In post","2021","Bexley and Greenwich","HEO","Male","95","95","39280","39440"
"In post","2021","Bexley and Greenwich","SEO","Female","20","20","[c]","[c]"
"In post","2021","Bexley and Greenwich","SEO","Male","25","25","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","Female","85","85","33190","34100"
"In post","2021","Bexley and Greenwich","Unknown","Male","45","45","33650","33950"
"In post","2021","Birmingham","AA","Female","160","145","18870","18850"
"In post","2021","Birmingham","AA","Male","140","135","18920","18900"
"In post","2021","Birmingham","AO","Female","1955","1695","20930","20420"
"In post","2021","Birmingham","AO","Male","1315","1260","21610","20140"
"In post","2021","Birmingham","EO","Female","1960","1755","26520","27570"
"In post","2021","Birmingham","EO","Male","1350","1310","26780","27370"
"In post","2021","Birmingham","G6","Female","105","100","67340","64670"
"In post","2021","Birmingham","G6","Male","120","120","69980","68180"
"In post","2021","Birmingham","G7","Female","470","440","54390","52580"
"In post","2021","Birmingham","G7","Male","450","440","55350","52580"
"In post","2021","Birmingham","HEO","Female","995","940","32430","31810"
"In post","2021","Birmingham","HEO","Male","940","920","33020","31810"
"In post","2021","Birmingham","SCS level","Female","55","50","101480","93050"
"In post","2021","Birmingham","SCS level","Male","55","50","98290","98230"
"In post","2021","Birmingham","SEO","Female","565","535","40680","38700"
"In post","2021","Birmingham","SEO","Male","520","510","41350","39400"
"In post","2021","Birmingham","Unknown","Female","325","290","29760","28200"
"In post","2021","Birmingham","Unknown","Male","110","110","31350","28200"
"In post","2021","Blackburn with Darwen","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","AO","Female","95","75","20600","21010"
"In post","2021","Blackburn with Darwen","AO","Male","55","50","22170","21010"
"In post","2021","Blackburn with Darwen","EO","Female","120","100","27360","27570"
"In post","2021","Blackburn with Darwen","EO","Male","100","95","27680","27570"
"In post","2021","Blackburn with Darwen","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","G7","Female","5","5","[c]","[c]"
"In post","2021","Blackburn with Darwen","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","HEO","Female","20","20","[c]","[c]"
"In post","2021","Blackburn with Darwen","HEO","Male","20","20","[c]","[c]"
"In post","2021","Blackburn with Darwen","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO","Female","5","5","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Female","50","45","28710","26500"
"In post","2021","Blackburn with Darwen","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Blackpool","AA","Female","10","5","[c]","[c]"
"In post","2021","Blackpool","AA","Male","5","5","[c]","[c]"
"In post","2021","Blackpool","AO","Female","1100","945","20820","21010"
"In post","2021","Blackpool","AO","Male","640","620","20930","21010"
"In post","2021","Blackpool","EO","Female","1200","1040","27400","27570"
"In post","2021","Blackpool","EO","Male","660","635","27500","27570"
"In post","2021","Blackpool","G6","Female","40","40","63660","61280"
"In post","2021","Blackpool","G6","Male","70","70","66900","65550"
"In post","2021","Blackpool","G7","Female","170","160","51060","49170"
"In post","2021","Blackpool","G7","Male","135","130","52760","51580"
"In post","2021","Blackpool","HEO","Female","370","345","32510","31990"
"In post","2021","Blackpool","HEO","Male","225","220","32590","31990"
"In post","2021","Blackpool","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Blackpool","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Blackpool","SEO","Female","260","245","37080","35730"
"In post","2021","Blackpool","SEO","Male","165","160","37490","36560"
"In post","2021","Blackpool","Unknown","Female","50","50","28600","28200"
"In post","2021","Blackpool","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Bournemouth and Poole","AA","Female","15","10","[c]","[c]"
"In post","2021","Bournemouth and Poole","AA","Male","30","30","[c]","[c]"
"In post","2021","Bournemouth and Poole","AO","Female","90","75","20370","20100"
"In post","2021","Bournemouth and Poole","AO","Male","65","65","21810","20920"
"In post","2021","Bournemouth and Poole","EO","Female","190","155","27020","27570"
"In post","2021","Bournemouth and Poole","EO","Male","140","135","27140","27570"
"In post","2021","Bournemouth and Poole","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","G7","Female","5","5","[c]","[c]"
"In post","2021","Bournemouth and Poole","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","HEO","Female","25","25","[c]","[c]"
"In post","2021","Bournemouth and Poole","HEO","Male","25","25","[c]","[c]"
"In post","2021","Bournemouth and Poole","SEO","Female","15","15","[c]","[c]"
"In post","2021","Bournemouth and Poole","SEO","Male","10","10","[c]","[c]"
"In post","2021","Bournemouth and Poole","Unknown","Female","75","65","28890","26570"
"In post","2021","Bournemouth and Poole","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Bradford","AA","Female","40","30","18490","18680"
"In post","2021","Bradford","AA","Male","25","25","[c]","[c]"
"In post","2021","Bradford","AO","Female","755","590","20560","20180"
"In post","2021","Bradford","AO","Male","510","475","20580","20140"
"In post","2021","Bradford","EO","Female","595","510","26650","27570"
"In post","2021","Bradford","EO","Male","360","340","26760","27570"
"In post","2021","Bradford","G6","Female","25","25","[c]","[c]"
"In post","2021","Bradford","G6","Male","15","15","[c]","[c]"
"In post","2021","Bradford","G7","Female","70","65","52070","52580"
"In post","2021","Bradford","G7","Male","70","70","51900","52580"
"In post","2021","Bradford","HEO","Female","195","175","31520","31810"
"In post","2021","Bradford","HEO","Male","130","125","31670","31810"
"In post","2021","Bradford","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Bradford","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","SEO","Female","85","85","38590","38630"
"In post","2021","Bradford","SEO","Male","95","90","38810","38630"
"In post","2021","Bradford","Unknown","Female","85","80","30010","28200"
"In post","2021","Bradford","Unknown","Male","35","35","30490","32050"
"In post","2021","Breckland and South Norfolk","AA","Female","25","25","[c]","[c]"
"In post","2021","Breckland and South Norfolk","AA","Male","35","35","20540","20600"
"In post","2021","Breckland and South Norfolk","AO","Female","90","80","24220","23240"
"In post","2021","Breckland and South Norfolk","AO","Male","150","145","25810","25300"
"In post","2021","Breckland and South Norfolk","EO","Female","65","55","27210","27570"
"In post","2021","Breckland and South Norfolk","EO","Male","70","65","30210","28860"
"In post","2021","Breckland and South Norfolk","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","G7","Male","5","5","[c]","[c]"
"In post","2021","Breckland and South Norfolk","HEO","Female","20","20","[c]","[c]"
"In post","2021","Breckland and South Norfolk","HEO","Male","30","25","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SEO","Female","10","10","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SEO","Male","15","15","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brent","AA","Female","15","10","[c]","[c]"
"In post","2021","Brent","AA","Male","5","5","[c]","[c]"
"In post","2021","Brent","AO","Female","105","90","23840","23500"
"In post","2021","Brent","AO","Male","35","30","24180","24210"
"In post","2021","Brent","EO","Female","175","160","30690","31060"
"In post","2021","Brent","EO","Male","100","100","30620","31060"
"In post","2021","Brent","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Brent","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brent","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Brent","G7","Male","10","10","[c]","[c]"
"In post","2021","Brent","HEO","Female","25","20","[c]","[c]"
"In post","2021","Brent","HEO","Male","30","30","35950","36400"
"In post","2021","Brent","SEO","Female","20","20","[c]","[c]"
"In post","2021","Brent","SEO","Male","20","20","[c]","[c]"
"In post","2021","Brent","Unknown","Female","55","55","32700","28690"
"In post","2021","Brent","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","AO","Female","180","145","20490","21010"
"In post","2021","Bridgend and Neath Port Talbot","AO","Male","80","75","20630","21010"
"In post","2021","Bridgend and Neath Port Talbot","EO","Female","205","180","27510","27570"
"In post","2021","Bridgend and Neath Port Talbot","EO","Male","80","75","29190","27570"
"In post","2021","Bridgend and Neath Port Talbot","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","G7","Male","5","5","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","HEO","Female","35","35","33720","33170"
"In post","2021","Bridgend and Neath Port Talbot","HEO","Male","25","25","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","SEO","Female","15","15","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","SEO","Male","10","10","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","Female","55","50","32600","30210"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Brighton and Hove","AA","Female","10","10","[c]","[c]"
"In post","2021","Brighton and Hove","AA","Male","15","15","[c]","[c]"
"In post","2021","Brighton and Hove","AO","Female","80","70","21240","20880"
"In post","2021","Brighton and Hove","AO","Male","50","45","21160","21010"
"In post","2021","Brighton and Hove","EO","Female","175","155","27470","27570"
"In post","2021","Brighton and Hove","EO","Male","95","85","27810","27570"
"In post","2021","Brighton and Hove","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","G7","Female","35","35","58270","59990"
"In post","2021","Brighton and Hove","G7","Male","25","25","[c]","[c]"
"In post","2021","Brighton and Hove","HEO","Female","30","25","[c]","[c]"
"In post","2021","Brighton and Hove","HEO","Male","15","15","[c]","[c]"
"In post","2021","Brighton and Hove","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","SEO","Female","15","15","[c]","[c]"
"In post","2021","Brighton and Hove","SEO","Male","10","10","[c]","[c]"
"In post","2021","Brighton and Hove","Unknown","Female","65","55","28620","28200"
"In post","2021","Brighton and Hove","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Bristol, City of","AA","Female","65","55","18800","18990"
"In post","2021","Bristol, City of","AA","Male","65","65","19280","19560"
"In post","2021","Bristol, City of","AO","Female","700","610","21390","21050"
"In post","2021","Bristol, City of","AO","Male","500","485","22330","21270"
"In post","2021","Bristol, City of","EO","Female","785","690","26450","26780"
"In post","2021","Bristol, City of","EO","Male","645","620","26900","27530"
"In post","2021","Bristol, City of","G6","Female","185","170","64250","61620"
"In post","2021","Bristol, City of","G6","Male","305","280","65030","64670"
"In post","2021","Bristol, City of","G7","Female","450","420","52390","50630"
"In post","2021","Bristol, City of","G7","Male","490","475","52310","51200"
"In post","2021","Bristol, City of","HEO","Female","655","600","31640","31810"
"In post","2021","Bristol, City of","HEO","Male","595","575","32410","31810"
"In post","2021","Bristol, City of","SCS level","Female","45","40","88000","79760"
"In post","2021","Bristol, City of","SCS level","Male","40","40","96500","87800"
"In post","2021","Bristol, City of","SEO","Female","515","475","39810","38630"
"In post","2021","Bristol, City of","SEO","Male","400","390","40340","39140"
"In post","2021","Bristol, City of","Unknown","Female","120","105","28590","28200"
"In post","2021","Bristol, City of","Unknown","Male","45","40","29530","30210"
"In post","2021","Bromley","AA","Female","10","10","[c]","[c]"
"In post","2021","Bromley","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","AO","Female","95","80","22800","22450"
"In post","2021","Bromley","AO","Male","35","35","22400","21330"
"In post","2021","Bromley","EO","Female","170","150","31010","31060"
"In post","2021","Bromley","EO","Male","70","70","31170","31060"
"In post","2021","Bromley","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","HEO","Female","25","25","[c]","[c]"
"In post","2021","Bromley","HEO","Male","10","10","[c]","[c]"
"In post","2021","Bromley","SEO","Female","15","15","[c]","[c]"
"In post","2021","Bromley","SEO","Male","5","5","[c]","[c]"
