"Status","Year","Disability","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","30","30","20120","19560"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","100","90","24520","24180"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","205","190","29140","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","55","55","34800","34700"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","40","35","44560","44990"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","55","50","26500","24020"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","50","45","20510","19800"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","285","270","25960","23580"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","295","275","29190","27920"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","50","45","57400","54540"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","155","150","34770","34260"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","75","75","43210","41940"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","80","75","29760","30210"
"In post","2021","Declared disabled","Cheshire","AA","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AO","110","100","22240","21010"
"In post","2021","Declared disabled","Cheshire","EO","160","145","28140","27570"
"In post","2021","Declared disabled","Cheshire","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","HEO","40","35","34290","36480"
"In post","2021","Declared disabled","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Unknown","35","30","28540","28200"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AO","85","70","20940","21010"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","EO","75","65","27480","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","AA","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","AO","85","75","21320","21050"
"In post","2021","Declared disabled","Cumbria","EO","65","60","26450","27570"
"In post","2021","Declared disabled","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","AA","45","40","19330","20150"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","AO","410","365","22090","21010"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","EO","540","490","26830","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","G6","20","20","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","G7","80","75","54100","52580"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","HEO","220","210","32400","31860"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","SEO","120","115","40860","39420"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Unknown","115","105","29920","28200"
"In post","2021","Declared disabled","Devon","AA","60","55","19580","19560"
"In post","2021","Declared disabled","Devon","AO","310","260","22270","21010"
"In post","2021","Declared disabled","Devon","EO","305","275","27390","27570"
"In post","2021","Declared disabled","Devon","G6","10","5","[c]","[c]"
"In post","2021","Declared disabled","Devon","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Devon","HEO","120","115","34030","33300"
"In post","2021","Declared disabled","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","SEO","70","65","42340","41420"
"In post","2021","Declared disabled","Devon","Unknown","55","50","32510","32050"
"In post","2021","Declared disabled","Dorset and Somerset","AA","35","35","19680","19560"
"In post","2021","Declared disabled","Dorset and Somerset","AO","165","150","22770","21010"
"In post","2021","Declared disabled","Dorset and Somerset","EO","205","185","27490","27570"
"In post","2021","Declared disabled","Dorset and Somerset","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","HEO","90","85","33550","33290"
"In post","2021","Declared disabled","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","SEO","50","45","43660","42510"
