"Status","Year","Disability","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","AA","30","30","20120","19560"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","AO","100","90","24520","24180"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","EO","205","190","29140","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","HEO","55","55","34800","34700"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SEO","40","35","44560","44990"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","55","50","26500","24020"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA","50","45","20510","19800"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AO","285","270","25960","23580"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","295","275","29190","27920"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G7","50","45","57400","54540"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","155","150","34770","34260"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO","75","75","43210","41940"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","80","75","29760","30210"
"In post","2021","Declared disabled","Cheshire","Outside London","AA","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Outside London","AO","110","100","22240","21010"
"In post","2021","Declared disabled","Cheshire","Outside London","EO","160","145","28140","27570"
"In post","2021","Declared disabled","Cheshire","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Outside London","G7","15","15","[c]","[c]"
