"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","Heterosexual / straight","40","40","33750","34750"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
