"Status","Year","Age","Organisation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scottish Government","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - West","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Department for Business, Energy and Industrial Strategy","East Wales","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","West Midlands","[c]","[c]","[c]","[c]"
