"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","AA","Female","20","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","AA","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","EO","Female","30","25","28840","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","EO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","HEO","Female","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","HEO","Male","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO","Female","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","Female","40","35","21190","21000"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Female","215","195","25100","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Male","140","140","25000","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","Female","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","Female","265","240","33220","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","Male","170","160","33470","34270"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","Female","75","70","42550","43020"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","Male","85","80","43460","43440"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","Female","550","500","21830","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","Male","250","245","22050","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Female","455","425","26380","25380"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Male","315","305","26820","26440"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","Male","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","Female","75","75","51530","52290"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","Male","75","75","53530","53870"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","Female","225","210","31340","30740"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","Male","180","175","31880","31900"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","Female","265","245","39710","37690"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","Male","210","205","40320","38390"
"In post","2021","Attorney General's Office","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G7","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","HEO","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","AO","Female","315","285","21750","20920"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","AO","Male","240","235","21890","20920"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","Female","535","510","27150","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","Male","355","350","27300","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6","Female","445","435","69780","66440"
