"Status","Year","Age","Organisation","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Inner London - West","London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","East Wales","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","East Wales","Outside London","15","15","16570","16780"
"In post","2021","16-19","Defence Electronics and Components Agency","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","95","95","18140","17780"
"In post","2021","16-19","Defence Equipment and Support","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Southern Scotland","Outside London","10","10","17080","16780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","15","15","17150","16990"
"In post","2021","16-19","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Greater Manchester","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","5","5","[c]","[c]"
