"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AO","LGBO","[c]","[c]","[c]","[c]"
