"Status","Year","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","35","30","38800","35110"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","50","45","21090","21000"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","355","335","25060","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","55","55","58750","57440"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","590","550","35900","34500"
"In post","2021","Animal and Plant Health Agency","AA/AO","810","755","21880","21050"
"In post","2021","Animal and Plant Health Agency","EO","775","730","26560","25670"
"In post","2021","Animal and Plant Health Agency","G6/G7","210","205","55200","54340"
"In post","2021","Animal and Plant Health Agency","SCS level","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","880","835","36120","35900"
"In post","2021","Attorney General's Office","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","20","20","59670","63410"
"In post","2021","Attorney General's Office","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","15","15","34630","34310"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","555","515","21810","20920"
"In post","2021","Cabinet Office (excl. agencies)","EO","885","860","27210","27500"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","3025","2970","59600","56340"
"In post","2021","Cabinet Office (excl. agencies)","SCS level","970","955","92190","78420"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","4015","3975","33650","33300"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","55","50","20510","21050"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","120","115","25080","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","115","110","52200","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","320","305","32840","30220"
"In post","2021","Charity Commission","AA/AO","20","15","20130","19950"
"In post","2021","Charity Commission","EO","110","100","24760","24440"
"In post","2021","Charity Commission","G6/G7","65","65","55710","52700"
"In post","2021","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","235","225","33030","30350"
"In post","2021","Companies House","AA/AO","430","375","21720","22490"
"In post","2021","Companies House","EO","285","270","27850","27460"
"In post","2021","Companies House","G6/G7","70","70","57500","57090"
"In post","2021","Companies House","SCS level","5","5","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","305","290","38770","39820"
"In post","2021","Competition and Markets Authority","AA/AO","25","25","23300","22860"
"In post","2021","Competition and Markets Authority","EO","75","75","28540","28070"
"In post","2021","Competition and Markets Authority","G6/G7","430","410","66300","62980"
"In post","2021","Competition and Markets Authority","SCS level","110","110","109380","101280"
"In post","2021","Competition and Markets Authority","SEO/HEO","200","195","37820","35400"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","115","105","20270","20650"
"In post","2021","Criminal Injuries Compensation Authority","EO","85","80","23350","22710"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","15","10","55930","58000"
"In post","2021","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","85","85","29340","27770"
"In post","2021","Crown Commercial Service","AA/AO","25","25","19610","18870"
"In post","2021","Crown Commercial Service","EO","110","105","23540","22260"
"In post","2021","Crown Commercial Service","G6/G7","195","190","52690","52000"
"In post","2021","Crown Commercial Service","SCS level","25","25","87820","73890"
"In post","2021","Crown Commercial Service","SEO/HEO","435","420","33140","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","710","630","21930","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","320","305","27330","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","200","190","66580","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS level","30","30","85890","83230"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","765","720","41990","37940"
"In post","2021","Crown Prosecution Service","AA/AO","1455","1330","22240","21950"
"In post","2021","Crown Prosecution Service","EO","1355","1255","27960","28430"
"In post","2021","Crown Prosecution Service","G6/G7","2870","2655","57630","55610"
"In post","2021","Crown Prosecution Service","SCS level","85","80","94570","89220"
"In post","2021","Crown Prosecution Service","SEO/HEO","985","945","36130","36240"
"In post","2021","Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","20","15","61860","60880"
"In post","2021","Crown Prosecution Service Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","10","10","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","55","55","71740","67260"
"In post","2021","Debt Management Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","45","45","41370","40580"
"In post","2021","Defence Electronics and Components Agency","AA/AO","95","90","19970","21000"
"In post","2021","Defence Electronics and Components Agency","EO","265","250","28000","28750"
"In post","2021","Defence Electronics and Components Agency","G6/G7","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","70","70","36330","32850"
"In post","2021","Defence Equipment and Support","EO","2610","2500","22250","21320"
"In post","2021","Defence Equipment and Support","G6/G7","1665","1625","56860","55220"
"In post","2021","Defence Equipment and Support","SCS level","110","110","103510","94470"
