"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","G6/G7","25","25","60560","56720"
"In post","2021","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","SEO/HEO","45","45","40690","41000"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","EO","30","30","26270","26350"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","G6/G7","40","40","54260","51460"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","SEO/HEO","80","75","37850","39710"
"In post","2021","Analysis","Economics","London","AA/AO","25","25","24780","25140"
"In post","2021","Analysis","Economics","London","EO","70","70","28000","27680"
"In post","2021","Analysis","Economics","London","G6/G7","435","425","60670","59160"
"In post","2021","Analysis","Economics","London","SCS level","55","50","92340","83430"
"In post","2021","Analysis","Economics","London","SEO/HEO","490","485","35230","34000"
"In post","2021","Analysis","Economics","Outside London","AA/AO","25","25","19130","19130"
"In post","2021","Analysis","Economics","Outside London","EO","15","15","23890","23050"
"In post","2021","Analysis","Economics","Outside London","G6/G7","70","70","55310","51970"
"In post","2021","Analysis","Economics","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Outside London","SEO/HEO","85","85","32760","31810"
"In post","2021","Analysis","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","G6/G7","15","15","63720","68660"
"In post","2021","Analysis","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","SEO/HEO","10","10","36580","36800"
"In post","2021","Analysis","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","SEO/HEO","15","15","42420","40050"
"In post","2021","Analysis","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","G6/G7","160","155","59090","55680"
"In post","2021","Analysis","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","SEO/HEO","45","45","38580","37910"
"In post","2021","Analysis","Intelligence Analysis","Outside London","G6/G7","45","40","53900","51420"
"In post","2021","Analysis","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Outside London","SEO/HEO","30","30","34070","32790"
"In post","2021","Analysis","Knowledge and Information Management","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","SEO/HEO","15","15","35930","33350"
"In post","2021","Analysis","Operational Delivery","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","London","EO","20","20","27710","26410"
"In post","2021","Analysis","Operational Delivery","London","G6/G7","15","15","65280","58880"
"In post","2021","Analysis","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","London","SEO/HEO","40","40","36870","36640"
"In post","2021","Analysis","Operational Delivery","Outside London","AA/AO","25","25","19730","19520"
"In post","2021","Analysis","Operational Delivery","Outside London","EO","155","135","24520","24240"
"In post","2021","Analysis","Operational Delivery","Outside London","G6/G7","40","40","49990","49100"
"In post","2021","Analysis","Operational Delivery","Outside London","SEO/HEO","285","275","33130","31810"
"In post","2021","Analysis","Operational Research","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","London","EO","10","10","28310","28950"
"In post","2021","Analysis","Operational Research","London","G6/G7","105","100","63900","61280"
"In post","2021","Analysis","Operational Research","London","SCS level","10","10","[c]","[c]"
