"Status","Year","Function_of_post","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Female","Heterosexual / straight","50","45","65700","65470"
"In post","2021","Analysis","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
