"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","AO","90","80","21360","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","EO","65","65","26010","25190"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","HEO","40","35","30610","30400"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","AO","40","40","23360","24370"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","EO","30","30","27700","28270"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","AO","75","70","22100","20920"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","EO","115","110","27220","27500"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","G6","50","50","67140","64670"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","G7","180","175","55620","54700"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","HEO","160","160","34330","34550"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SCS level","45","45","90240","76790"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SEO","70","65","40640","40600"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","SEO","[c]","[c]","[c]","[c]"
