"Status","Year","Age","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
