"Status","Year","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA","15","15","19760","20180"
"In post","2021","Attorney General's Departments","AO","1520","1395","22340","21950"
"In post","2021","Attorney General's Departments","EO","1760","1640","28060","28430"
"In post","2021","Attorney General's Departments","G6","1085","1015","69080","67170"
"In post","2021","Attorney General's Departments","G7","3685","3395","55400","54390"
"In post","2021","Attorney General's Departments","HEO","1070","1030","35300","34480"
"In post","2021","Attorney General's Departments","SCS level","310","295","87560","82500"
"In post","2021","Attorney General's Departments","SEO","380","375","40290","39750"
"In post","2021","Attorney General's Departments","Unknown","10","10","39350","36360"
"In post","2021","Cabinet Office","AO","555","515","21810","20920"
"In post","2021","Cabinet Office","EO","885","860","27210","27500"
"In post","2021","Cabinet Office","G6","845","835","70530","66730"
"In post","2021","Cabinet Office","G7","2180","2135","55360","54700"
"In post","2021","Cabinet Office","HEO","3265","3235","32060","32000"
"In post","2021","Cabinet Office","SCS level","970","955","92190","78420"
"In post","2021","Cabinet Office","SEO","750","735","40570","40600"
"In post","2021","Chancellor's other departments","AA","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","AO","15","15","23140","23030"
"In post","2021","Chancellor's other departments","EO","35","35","29760","29500"
"In post","2021","Chancellor's other departments","G6","115","105","88960","82360"
"In post","2021","Chancellor's other departments","G7","70","70","55580","56480"
"In post","2021","Chancellor's other departments","HEO","70","70","36580","36500"
"In post","2021","Chancellor's other departments","SCS level","20","20","116130","107250"
"In post","2021","Chancellor's other departments","SEO","80","75","45800","45530"
"In post","2021","Charity Commission","AO","20","15","20130","19950"
"In post","2021","Charity Commission","EO","110","100","24760","24440"
"In post","2021","Charity Commission","G6","20","20","63180","62480"
"In post","2021","Charity Commission","G7","45","45","52300","51070"
"In post","2021","Charity Commission","HEO","140","135","29430","29160"
"In post","2021","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2021","Charity Commission","SEO","95","95","38310","37910"
"In post","2021","Competition and Markets Authority","AO","25","25","23300","22860"
"In post","2021","Competition and Markets Authority","EO","75","75","28540","28070"
"In post","2021","Competition and Markets Authority","G6","195","185","76550","75270"
"In post","2021","Competition and Markets Authority","G7","235","225","57760","56360"
"In post","2021","Competition and Markets Authority","HEO","145","140","35310","34870"
"In post","2021","Competition and Markets Authority","SCS level","110","110","109380","101280"
"In post","2021","Competition and Markets Authority","SEO","55","55","44350","43880"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA","95","85","19340","18900"
"In post","2021","Department for Business, Energy and Industrial Strategy","AO","1405","1290","21780","21000"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","1945","1855","26470","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6","940","905","66910","64990"
"In post","2021","Department for Business, Energy and Industrial Strategy","G7","2675","2600","54590","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","HEO","3020","2915","34130","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS level","390","380","83560","75540"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO","2690","2595","41960","40220"
"In post","2021","Department for Digital, Culture, Media and Sport","AA","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","180","175","27400","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6","200","195","66530","65000"
"In post","2021","Department for Digital, Culture, Media and Sport","G7","600","590","56020","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","HEO","665","655","37010","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","120","115","86600","76510"
"In post","2021","Department for Education","AO","110","105","21880","21000"
"In post","2021","Department for Education","EO","960","925","26680","26000"
"In post","2021","Department for Education","G6","925","890","64970","64530"
"In post","2021","Department for Education","G7","1965","1895","52510","50850"
"In post","2021","Department for Education","HEO","1700","1645","31560","30200"
"In post","2021","Department for Education","SCS level","300","285","84160","75030"
"In post","2021","Department for Education","SEO","1965","1895","39210","37100"
"In post","2021","Department for Education","Unknown","10","10","38540","38180"
"In post","2021","Department for Environment, Food and Rural Affairs","AA","20","20","19160","18530"
"In post","2021","Department for Environment, Food and Rural Affairs","AO","2015","1840","21540","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","2055","1935","26230","25330"
"In post","2021","Department for Environment, Food and Rural Affairs","G6","610","590","62490","62130"
"In post","2021","Department for Environment, Food and Rural Affairs","G7","1725","1670","51700","52290"
"In post","2021","Department for Environment, Food and Rural Affairs","HEO","2235","2145","31340","30710"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS level","235","225","83690","76850"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO","2145","2045","38670","37590"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AO","35","35","24940","25140"
"In post","2021","Department for International Trade","EO","255","250","27360","26510"
"In post","2021","Department for International Trade","G6","295","290","63390","62170"
"In post","2021","Department for International Trade","G7","780","775","52430","51970"
"In post","2021","Department for International Trade","HEO","630","625","32290","32120"
"In post","2021","Department for International Trade","SCS level","175","175","86280","76730"
"In post","2021","Department for International Trade","SEO","520","515","39060","38540"
"In post","2021","Department for Transport","AA","1315","1035","18380","18060"
"In post","2021","Department for Transport","AO","4390","3925","22820","21590"
"In post","2021","Department for Transport","EO","4175","3920","28020","26780"
"In post","2021","Department for Transport","G6","520","505","69980","66230"
"In post","2021","Department for Transport","G7","1355","1320","56660","54760"
"In post","2021","Department for Transport","HEO","2300","2235","33760","33350"
"In post","2021","Department for Transport","SCS level","230","225","88940","80530"
"In post","2021","Department for Transport","SEO","1685","1645","43220","42470"
"In post","2021","Department for Work and Pensions","AA","290","240","20160","20230"
"In post","2021","Department for Work and Pensions","AO","29310","25115","21190","21010"
"In post","2021","Department for Work and Pensions","EO","49020","44370","28120","27570"
"In post","2021","Department for Work and Pensions","G6","870","835","66800","66250"
"In post","2021","Department for Work and Pensions","G7","2415","2315","53990","53000"
"In post","2021","Department for Work and Pensions","HEO","7570","7105","33540","32470"
"In post","2021","Department for Work and Pensions","SCS level","275","270","89630","80800"
"In post","2021","Department for Work and Pensions","SEO","3775","3585","40780","38880"
"In post","2021","Department of Health and Social Care","AA","150","130","20190","19270"
"In post","2021","Department of Health and Social Care","AO","830","740","21530","21570"
"In post","2021","Department of Health and Social Care","EO","1575","1485","26470","27140"
"In post","2021","Department of Health and Social Care","G6","1130","1075","68800","66560"
"In post","2021","Department of Health and Social Care","G7","2530","2425","53370","53360"
"In post","2021","Department of Health and Social Care","HEO","2345","2220","32230","32790"
"In post","2021","Department of Health and Social Care","SCS level","890","805","98740","93000"
"In post","2021","Department of Health and Social Care","SEO","2305","2155","40280","40560"
"In post","2021","ESTYN","AO","10","10","23500","23830"
"In post","2021","ESTYN","EO","25","20","28240","28850"
"In post","2021","ESTYN","G6","65","60","74490","74730"
"In post","2021","ESTYN","G7","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","HEO","5","5","[c]","[c]"
"In post","2021","ESTYN","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","EO","435","415","27280","26750"
"In post","2021","Food Standards Agency","G6","45","45","64750","62370"
"In post","2021","Food Standards Agency","G7","175","170","54220","53790"
"In post","2021","Food Standards Agency","HEO","295","290","31890","30810"
"In post","2021","Food Standards Agency","SCS level","20","20","87140","79230"
"In post","2021","Food Standards Agency","SEO","325","320","39730","39300"
"In post","2021","Foreign, Commonwealth and Development Office","AA","5","5","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","AO","590","575","25580","24750"
"In post","2021","Foreign, Commonwealth and Development Office","EO","970","940","29500","29300"
"In post","2021","Foreign, Commonwealth and Development Office","G6","1085","1065","67560","67370"
"In post","2021","Foreign, Commonwealth and Development Office","G7","2190","2130","55630","55620"
"In post","2021","Foreign, Commonwealth and Development Office","HEO","2205","2170","35670","34770"
"In post","2021","Foreign, Commonwealth and Development Office","SCS level","560","550","86520","78010"
"In post","2021","Foreign, Commonwealth and Development Office","SEO","980","965","43100","42890"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","45","45","22640","21600"
"In post","2021","HM Land Registry","AA","30","30","20740","21040"
"In post","2021","HM Land Registry","AO","1820","1725","22490","22350"
"In post","2021","HM Land Registry","EO","2155","1885","27500","27130"
"In post","2021","HM Land Registry","G6","55","55","72870","73760"
"In post","2021","HM Land Registry","G7","240","225","60130","60520"
"In post","2021","HM Land Registry","HEO","1285","1135","34730","33840"
"In post","2021","HM Land Registry","SCS level","25","25","92210","82040"
"In post","2021","HM Land Registry","SEO","740","685","42070","40860"
"In post","2021","HM Revenue and Customs","AA","985","775","20090","20070"
"In post","2021","HM Revenue and Customs","AO","20615","17960","20790","20140"
"In post","2021","HM Revenue and Customs","EO","15640","14435","26440","25560"
"In post","2021","HM Revenue and Customs","G6","2080","1995","66980","64670"
"In post","2021","HM Revenue and Customs","G7","5625","5415","53710","52580"
"In post","2021","HM Revenue and Customs","HEO","13950","13245","32660","31810"
"In post","2021","HM Revenue and Customs","SCS level","505","495","85610","78860"
"In post","2021","HM Revenue and Customs","SEO","7080","6770","39460","38630"
"In post","2021","HM Treasury","AO","70","70","22490","22500"
"In post","2021","HM Treasury","EO","240","235","27030","26750"
"In post","2021","HM Treasury","G6","360","350","67280","64700"
"In post","2021","HM Treasury","G7","765","745","55140","52840"
"In post","2021","HM Treasury","HEO","865","855","34450","32960"
"In post","2021","HM Treasury","SCS level","185","175","86580","77660"
"In post","2021","HM Treasury","SEO","190","180","44240","43830"
"In post","2021","Home Office","AA","920","790","19560","17990"
"In post","2021","Home Office","AO","7410","6595","22290","21430"
"In post","2021","Home Office","EO","14365","13185","26950","26070"
"In post","2021","Home Office","G6","895","870","69900","68940"
"In post","2021","Home Office","G7","2470","2420","57540","57460"
"In post","2021","Home Office","HEO","5250","5050","33450","33530"
"In post","2021","Home Office","SCS level","290","285","91800","83790"
"In post","2021","Home Office","SEO","3530","3440","41370","41970"
"In post","2021","Home Office","Unknown","250","250","32730","28670"
"In post","2021","Ministry of Defence","AA","5090","4925","19390","19560"
"In post","2021","Ministry of Defence","AO","10825","10375","24420","21580"
"In post","2021","Ministry of Defence","EO","10600","10235","26870","26670"
"In post","2021","Ministry of Defence","G6","1240","1195","69280","67250"
"In post","2021","Ministry of Defence","G7","5095","4905","54810","54540"
"In post","2021","Ministry of Defence","HEO","11475","11130","33410","33300"
"In post","2021","Ministry of Defence","SCS level","415","410","93020","86450"
"In post","2021","Ministry of Defence","SEO","8840","8575","41650","40580"
"In post","2021","Ministry of Defence","Unknown","4100","4050","39600","36970"
"In post","2021","Ministry of Housing, Communities and Local Government","AA","10","10","19040","19040"
"In post","2021","Ministry of Housing, Communities and Local Government","AO","225","210","22790","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","EO","380","365","28040","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","G6","525","485","64790","63770"
"In post","2021","Ministry of Housing, Communities and Local Government","G7","895","865","52850","53130"
"In post","2021","Ministry of Housing, Communities and Local Government","HEO","700","680","33320","33210"
"In post","2021","Ministry of Housing, Communities and Local Government","SCS level","140","135","86070","77510"
"In post","2021","Ministry of Housing, Communities and Local Government","SEO","520","515","40370","39600"
"In post","2021","Ministry of Justice","AA","7900","7255","20380","20600"
"In post","2021","Ministry of Justice","AO","32675","30385","25420","24440"
"In post","2021","Ministry of Justice","EO","10420","9935","28300","27380"
"In post","2021","Ministry of Justice","G6","335","325","82330","84320"
"In post","2021","Ministry of Justice","G7","2685","2615","59390","58130"
"In post","2021","Ministry of Justice","HEO","6900","6615","33210","32350"
"In post","2021","Ministry of Justice","SCS level","330","320","90280","86110"
"In post","2021","Ministry of Justice","SEO","5500","5275","44460","43840"
"In post","2021","Ministry of Justice","Unknown","12150","11230","30000","28690"
"In post","2021","National Crime Agency","AO","325","305","23750","24220"
"In post","2021","National Crime Agency","EO","2470","2415","33470","33120"
"In post","2021","National Crime Agency","G6","90","90","74560","72630"
"In post","2021","National Crime Agency","G7","275","275","61430","60990"
"In post","2021","National Crime Agency","HEO","1565","1525","41950","41410"
"In post","2021","National Crime Agency","SCS level","30","30","110400","95000"
"In post","2021","National Crime Agency","SEO","725","715","50400","48900"
"In post","2021","Northern Ireland Office","AO","10","10","[c]","[c]"
"In post","2021","Northern Ireland Office","EO","20","20","26310","26120"
"In post","2021","Northern Ireland Office","G7","45","45","53970","52850"
"In post","2021","Northern Ireland Office","HEO","25","25","30830","31260"
"In post","2021","Northern Ireland Office","SCS level","15","15","87610","76540"
"In post","2021","Northern Ireland Office","SEO","45","45","37150","36800"
"In post","2021","Office for Standards in Education","AO","230","210","21250","21160"
"In post","2021","Office for Standards in Education","EO","200","195","26300","25880"
"In post","2021","Office for Standards in Education","G6","120","120","81510","85550"
"In post","2021","Office for Standards in Education","G7","460","455","70820","75500"
"In post","2021","Office for Standards in Education","HEO","215","205","32690","32010"
"In post","2021","Office for Standards in Education","SCS level","30","30","109030","95150"
"In post","2021","Office for Standards in Education","SEO","520","500","47370","51360"
"In post","2021","Office of Gas and Electricity Markets","AO","55","55","19670","19380"
"In post","2021","Office of Gas and Electricity Markets","EO","265","265","25830","25600"
"In post","2021","Office of Gas and Electricity Markets","G6","90","90","75970","76500"
