"Status","Year","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","210","195","30970","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","270","260","35910","30660"
"In post","2021","Analysis","Charity Commission","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Female","55","50","57500","56360"
"In post","2021","Analysis","Competition and Markets Authority","Male","80","80","62080","56630"
"In post","2021","Analysis","Crown Prosecution Service","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Female","140","130","37880","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Male","320","310","41340","39420"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","105","100","42610","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","185","185","43790","37890"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","55","50","53780","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","90","85","51690","43280"
"In post","2021","Analysis","Department for Education (excl. agencies)","Female","220","200","43850","42580"
