"Status","Year","Age","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Outside London","Female","30","25","19810","18060"
"In post","2021","16-19","Department for Transport","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Outside London","Female","115","115","22360","21010"
"In post","2021","16-19","Department for Work and Pensions","Outside London","Male","75","75","22160","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","Female","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","Female","15","10","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outside London","Female","125","115","20430","20140"
"In post","2021","16-19","HM Revenue and Customs","Outside London","Male","115","110","20730","20140"
"In post","2021","16-19","HM Treasury","London","Female","15","15","[c]","[c]"
"In post","2021","16-19","HM Treasury","London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Home Office","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","Female","35","35","21520","21430"
"In post","2021","16-19","Home Office","Outside London","Male","30","25","21320","21430"
"In post","2021","16-19","Ministry of Defence","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","Female","45","45","19250","19040"
"In post","2021","16-19","Ministry of Defence","Outside London","Male","160","160","18370","17780"
"In post","2021","16-19","Ministry of Defence","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","Male","30","30","19060","16200"
"In post","2021","16-19","Ministry of Justice","London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","Female","80","80","21420","20600"
"In post","2021","16-19","Ministry of Justice","Outside London","Male","40","40","21690","20600"
"In post","2021","16-19","National Crime Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Outside London","Female","60","55","21400","21150"
"In post","2021","16-19","Scottish Government","Outside London","Male","40","40","20890","20830"
"In post","2021","16-19","The National Archives","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","London","Female","435","430","32920","29280"
"In post","2021","20-29","Attorney General's Departments","London","Male","250","245","33120","29280"
"In post","2021","20-29","Attorney General's Departments","Outside London","Female","460","450","26980","25480"
"In post","2021","20-29","Attorney General's Departments","Outside London","Male","175","175","27650","25480"
"In post","2021","20-29","Cabinet Office","London","Female","1440","1440","34950","32000"
"In post","2021","20-29","Cabinet Office","London","Male","1075","1075","36120","32000"
"In post","2021","20-29","Cabinet Office","Outside London","Female","280","275","28180","28000"
"In post","2021","20-29","Cabinet Office","Outside London","Male","235","235","28700","28000"
"In post","2021","20-29","Cabinet Office","Unknown","Female","205","205","31720","31600"
"In post","2021","20-29","Cabinet Office","Unknown","Male","160","160","31290","29250"
"In post","2021","20-29","Chancellor's other departments","London","Female","30","30","33440","29480"
"In post","2021","20-29","Chancellor's other departments","London","Male","50","50","37320","36500"
"In post","2021","20-29","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","Female","20","20","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","Female","70","70","38550","33660"
"In post","2021","20-29","Competition and Markets Authority","London","Male","65","65","37010","33610"
"In post","2021","20-29","Competition and Markets Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","Female","945","940","40340","38620"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","Male","910","910","41350","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","Female","560","550","26970","24500"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","Male","480","480","28250","25780"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","Female","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","Female","360","360","40310","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","Male","290","290","42560","39890"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","Female","20","20","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Education","London","Female","425","420","39780","37280"
"In post","2021","20-29","Department for Education","London","Male","225","225","39990","36980"
"In post","2021","20-29","Department for Education","Outside London","Female","550","545","32580","29730"
"In post","2021","20-29","Department for Education","Outside London","Male","410","410","32400","29780"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","Female","430","425","37080","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","Male","350","350","35410","32610"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","Female","700","690","26400","24920"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","Male","460","455","27190","25100"
"In post","2021","20-29","Department for International Trade","London","Female","455","450","37530","33310"
"In post","2021","20-29","Department for International Trade","London","Male","425","420","37340","32280"
"In post","2021","20-29","Department for International Trade","Outside London","Female","20","20","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Outside London","Male","35","35","33430","31800"
"In post","2021","20-29","Department for International Trade","Overseas","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Overseas","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","London","Female","420","420","38690","35060"
"In post","2021","20-29","Department for Transport","London","Male","445","445","39050","35060"
"In post","2021","20-29","Department for Transport","Outside London","Female","700","660","23560","21590"
"In post","2021","20-29","Department for Transport","Outside London","Male","660","650","26110","26130"
"In post","2021","20-29","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","London","Female","1135","1115","31570","31060"
"In post","2021","20-29","Department for Work and Pensions","London","Male","690","685","32260","31060"
"In post","2021","20-29","Department for Work and Pensions","Outside London","Female","4865","4715","25670","27570"
"In post","2021","20-29","Department for Work and Pensions","Outside London","Male","3730","3710","25450","27570"
"In post","2021","20-29","Department for Work and Pensions","Unknown","Female","70","70","28530","27570"
